Municipio;Nombre;2021;2020;2019;2018;2017;AumentoPoblacion
"""40001""";Abades;835;857;848;845;864;-29
"""40002""";Adrada de Pirón;39;37;39;44;41;-2
"""40003""";Adrados;125;127;126;139;138;-13
"""40004""";Aguilafuente;557;566;573;587;585;-28
"""40005""";Alconada de Maderuelo;22;23;25;27;29;-7
"""40012""";Aldea Real;281;279;282;301;310;-29
"""40006""";Aldealcorvo;19;20;22;22;25;-6
"""40007""";Aldealengua de Pedraza;80;73;72;76;80;0
"""40008""";Aldealengua de Santa María;61;64;63;56;65;-4
"""40009""";Aldeanueva de la Serrezuela;42;40;44;48;49;-7
"""40010""";Aldeanueva del Codonal;116;113;117;123;127;-11
"""40013""";Aldeasoña;62;56;56;57;57;5
"""40014""";Aldehorno;52;53;53;57;58;-6
"""40015""";Aldehuela del Codonal;24;23;26;25;27;-3
"""40016""";Aldeonte;56;57;55;55;58;-2
"""40017""";Anaya;122;125;129;131;124;-2
"""40018""";Añe;68;72;77;79;90;-22
"""40019""";Arahuetes;28;28;30;32;41;-13
"""40020""";Arcones;171;145;166;175;159;12
"""40021""";Arevalillo de Cega;17;19;20;21;27;-10
"""40022""";Armuña;246;234;219;229;230;16
"""40024""";Ayllón;1153;1182;1196;1203;1212;-59
"""40025""";Barbolla;139;158;158;169;167;-28
"""40026""";Basardilla;168;143;153;149;146;22
"""40028""";Bercial;104;109;111;111;117;-13
"""40029""";Bercimuel;20;22;24;25;27;-7
"""40030""";Bernardos;486;465;476;494;518;-32
"""40031""";Bernuy de Porreros;788;766;747;760;762;26
"""40032""";Boceguillas;701;719;723;716;708;-7
"""40033""";Brieva;94;93;96;86;98;-4
"""40034""";Caballar;76;82;83;85;91;-15
"""40035""";Cabañas de Polendos;184;171;177;186;178;6
"""40036""";Cabezuela;640;644;664;671;681;-41
"""40037""";Calabazas de Fuentidueña;27;26;28;30;35;-8
"""40039""";Campo de San Pedro;250;230;238;258;265;-15
"""40040""";Cantalejo;3522;3562;3523;3543;3579;-57
"""40041""";Cantimpalos;1346;1340;1325;1321;1331;15
"""40161""";Carabias;50;51;57;49;47;3
"""40043""";Carbonero el Mayor;2502;2494;2519;2529;2523;-21
"""40044""";Carrascal del Río;150;146;147;147;151;-1
"""40045""";Casla;159;156;165;157;163;-4
"""40046""";Castillejo de Mesleón;120;130;136;130;135;-15
"""40047""";Castro de Fuentidueña;47;37;31;29;32;15
"""40048""";Castrojimeno;32;33;35;36;33;-1
"""40049""";Castroserna de Abajo;33;31;40;50;47;-14
"""40051""";Castroserracín;45;40;42;45;50;-5
"""40052""";Cedillo de la Torre;89;88;89;95;97;-8
"""40053""";Cerezo de Abajo;115;102;112;117;123;-8
"""40054""";Cerezo de Arriba;134;128;136;138;136;-2
"""40065""";Chañe;708;708;736;754;813;-105
"""40055""";Cilleruelo de San Mamés;34;30;33;35;34;0
"""40056""";Cobos de Fuentidueña;34;33;34;34;34;0
"""40057""";Coca;1726;1726;1763;1774;1826;-100
"""40058""";Codorniz;322;322;327;334;342;-20
"""40059""";Collado Hermoso;129;124;125;123;125;4
"""40060""";Condado de Castilnovo;85;85;90;95;104;-19
"""40061""";Corral de Ayllón;71;72;77;78;85;-14
"""40902""";Cozuelos de Fuentidueña;120;126;131;129;131;-11
"""40062""";Cubillo;76;74;73;77;72;4
"""40063""";Cuéllar;9620;9659;9583;9584;9524;96
"""40905""";Cuevas de Provanco;127;130;136;135;136;-9
"""40068""";Domingo García;32;25;25;27;27;5
"""40069""";Donhierro;85;84;91;91;92;-7
"""40070""";Duruelo;190;166;180;178;175;15
"""40071""";Encinas;40;41;44;43;43;-3
"""40072""";Encinillas;319;312;304;273;284;35
"""40073""";Escalona del Prado;498;495;499;501;512;-14
"""40074""";Escarabajosa de Cabezas;289;296;298;300;306;-17
"""40075""";Escobar de Polendos;168;165;167;173;177;-9
"""40076""";Espinar, El;9476;9086;8986;9061;9155;321
"""40077""";Espirdo;1452;1389;1344;1301;1248;204
"""40078""";Fresneda de Cuéllar;166;163;165;166;173;-7
"""40079""";Fresno de Cantespino;313;280;265;262;261;52
"""40080""";Fresno de la Fuente;78;79;67;71;74;4
"""40081""";Frumales;111;114;112;116;113;-2
