Municipio;Nombre;2021;2020;2019;2018;2017;AumentoPoblacion
"""03002""";Agost;4906;4794;4758;4713;4703;203
"""03003""";Agres;580;564;565;551;549;31
"""03004""";Aigües;1049;986;963;936;913;136
"""03005""";Albatera;12714;12474;12279;12042;11850;864
"""03006""";Alcalalí;1336;1302;1278;1298;1276;60
"""03007""";Alcosser;243;226;230;229;230;13
"""03008""";Alcoleja;181;177;173;180;185;-4
"""03009""";Alcoi/Alcoy;59128;59354;58994;58977;59106;22
"""03010""";Alfafara;408;406;410;407;405;3
"""03011""";Alfàs del Pi, l';20495;20042;20482;20053;18394;2101
"""03012""";Algorfa;3396;3125;2935;2838;2761;635
"""03013""";Algueña;1334;1326;1336;1341;1372;-38
"""03014""";Alicante/Alacant;337304;337482;334887;331577;329988;7316
"""03015""";Almoradí;21404;21208;20803;20542;20332;1072
"""03016""";Almudaina;117;109;113;104;113;4
"""03017""";Alqueria d'Asnar, l';498;493;493;491;496;2
"""03018""";Altea;22657;22558;22290;21995;21813;844
"""03019""";Aspe;21088;20804;20714;20537;20425;663
"""03001""";Atzúbia, l';609;611;632;661;664;-55
"""03020""";Balones;134;128;131;122;128;6
"""03021""";Banyeres de Mariola;7113;7090;7068;7113;7102;11
"""03022""";Benasau;170;156;151;156;157;13
"""03023""";Beneixama;1707;1690;1685;1703;1710;-3
"""03024""";Benejúzar;5453;5435;5402;5361;5372;81
"""03025""";Benferri;1958;1965;1942;1940;1923;35
"""03026""";Beniarbeig;2227;2159;2092;1983;1919;308
"""03027""";Beniardá;192;200;232;178;183;9
"""03028""";Beniarrés;1083;1099;1118;1118;1137;-54
"""03030""";Benidoleig;1166;1078;1095;1110;1080;86
"""03031""";Benidorm;69118;70450;68721;67558;66831;2287
"""03032""";Benifallim;103;104;105;108;111;-8
"""03033""";Benifato;135;136;140;149;148;-13
"""03029""";Benigembla;483;443;490;444;433;50
"""03034""";Benijófar;3323;3293;3322;3357;3290;33
"""03035""";Benilloba;737;726;724;742;755;-18
"""03036""";Benillup;101;100;97;94;102;-1
"""03037""";Benimantell;501;497;483;490;495;6
"""03038""";Benimarfull;397;396;409;413;418;-21
"""03039""";Benimassot;97;103;106;96;99;-2
"""03040""";Benimeli;415;429;418;410;391;24
"""03041""";Benissa;11462;11288;11005;10768;10879;583
"""03042""";Benitachell/Poble Nou de Benitatxell, el;4447;4452;4276;4130;4020;427
"""03043""";Biar;3628;3655;3671;3651;3650;-22
"""03044""";Bigastro;6994;6909;6733;6702;6656;338
"""03045""";Bolulla;426;417;420;418;414;12
"""03046""";Busot;3207;3075;2978;2925;2904;303
"""03049""";Callosa de Segura;19273;19127;19038;18864;18625;648
"""03048""";Callosa d'en Sarrià;7589;7522;7373;7257;7223;366
"""03047""";Calp;23530;23326;22725;21633;20804;2726
"""03050""";Campello, el;29013;28930;28349;27893;27604;1409
"""03051""";Campo de Mirra/ Camp de Mirra, el;429;417;415;428;436;-7
"""03052""";Cañada;1191;1208;1220;1214;1242;-51
"""03053""";Castalla;10752;10461;10124;9880;9876;876
"""03054""";Castell de Castells;425;437;449;435;436;-11
"""03075""";Castell de Guadalest, el;243;224;217;209;205;38
"""03055""";Catral;8880;8898;8639;8631;8620;260
"""03056""";Cocentaina;11451;11520;11511;11456;11461;-10
"""03057""";Confrides;271;261;187;208;221;50
"""03058""";Cox;7427;7386;7297;7226;7192;235
"""03059""";Crevillent;29717;29536;28952;28957;28836;881
"""03061""";Daya Nueva;1757;1733;1737;1718;1684;73
"""03062""";Daya Vieja;707;731;690;685;713;-6
"""03063""";Dénia;42953;42827;42166;41733;41568;1385
"""03064""";Dolores;7620;7531;7470;7383;7302;318
"""03065""";Elche/Elx;234205;234765;232517;230625;228675;5530
"""03066""";Elda;52551;52813;52618;52404;52620;-69
"""03067""";Fageca;105;107;106;101;101;4
"""03068""";Famorca;45;45;47;53;57;-12
"""03069""";Finestrat;7402;7103;6715;6381;6292;1110
"""03077""";Fondó de les Neus, el/Hondón de las Nieves;2634;2606;2544;2474;2436;198
"""03070""";Formentera del Segura;4337;4268;4191;4131;4064;273
"""03072""";Gaianes;505;479;452;471;448;57
"""03071""";Gata de Gorgos;6223;6243;6049;5893;5804;419
"""03073""";Gorga;261;241;249;258;273;-12
"""03074""";Granja de Rocamora;2609;2591;2580;2489;2469;140
"""03076""";Guardamar del Segura;15983;15849;15348;15058;14716;1267
"""03078""";Hondón de los Frailes;1299;1242;1198;1132;1102;197
"""03079""";Ibi;23652;23564;23489;23403;23423;229
"""03080""";Jacarilla;2030;1998;2022;1986;1953;77
"""03082""";Jávea/Xàbia;27983;28016;27604;27224;27060;923
"""03083""";Jijona/Xixona;6861;6879;6865;6875;6895;-34
"""03085""";Llíber;883;830;935;1051;951;-68
"""03084""";Lorcha/Orxa, l';584;582;578;596;606;-22
"""03086""";Millena;242;240;237;229;230;12
"""03088""";Monforte del Cid;8500;8346;8165;7944;7592;908
