Municipio;Nombre;2021;2020;2019;2018;2017;AumentoPoblacion
"""14001""";Adamuz;4141;4137;4192;4185,0;4236,0;-95,0
"""14002""";Aguilar de la Frontera;13398;13382;13328;13438,0;13476,0;-78,0
"""14003""";Alcaracejos;1481;1470;1486;1473,0;1496,0;-15,0
"""14004""";Almedinilla;2352;2370;2391;2409,0;2455,0;-103,0
"""14005""";Almodóvar del Río;8036;7932;7937;7964,0;7982,0;54,0
"""14006""";Añora;1526;1530;1527;1524,0;1553,0;-27,0
"""14007""";Baena;18885;19045;19284;19338,0;19523,0;-638,0
"""14008""";Belalcázar;3207;3235;3255;3273,0;3336,0;-129,0
"""14009""";Belmez;2905;2921;2923;2964,0;2913,0;-8,0
"""14010""";Benamejí;4982;4963;4966;4975,0;5025,0;-43,0
"""14011""";Blázquez, Los;659;664;661;681,0;691,0;-32,0
"""14012""";Bujalance;7316;7320;7417;7537,0;7599,0;-283,0
"""14013""";Cabra;20245;20347;20341;20417,0;20557,0;-312,0
"""14014""";Cañete de las Torres;2888;2923;2933;2969,0;3000,0;-112,0
"""14015""";Carcabuey;2374;2371;2412;2454,0;2471,0;-97,0
"""14016""";Cardeña;1473;1471;1490;1503,0;1532,0;-59,0
"""14017""";Carlota, La;14228;14079;14061;14067,0;14010,0;218,0
"""14018""";Carpio, El;4382;4363;4383;4457,0;4480,0;-98,0
"""14019""";Castro del Río;7740;7767;7809;7834,0;7881,0;-141,0
"""14020""";Conquista;372;366;379;401,0;418,0;-46,0
"""14021""";Córdoba;322071;326039;325701;325708,0;325916,0;-3845,0
"""14022""";Doña Mencía;4603;4615;4638;4684,0;4718,0;-115,0
"""14023""";Dos Torres;2399;2394;2411;2416,0;2426,0;-27,0
"""14024""";Encinas Reales;2256;2254;2254;2285,0;2297,0;-41,0
"""14025""";Espejo;3272;3289;3329;3333,0;3375,0;-103,0
"""14026""";Espiel;2424;2405;2397;2438,0;2474,0;-50,0
"""14027""";Fernán-Núñez;9667;9651;9663;9668,0;9680,0;-13,0
"""14901""";Fuente Carreteros;1133;1148;1131;;;
"""14028""";Fuente la Lancha;337;342;351;350,0;345,0;-8,0
"""14029""";Fuente Obejuna;4505;4501;4604;4651,0;4734,0;-229,0
"""14030""";Fuente Palmera;9803;9766;9783;10817,0;10871,0;-1068,0
"""14031""";Fuente-Tójar;676;666;672;680,0;705,0;-29,0
"""14032""";Granjuela, La;432;439;461;456,0;474,0;-42,0
