Municipio;Nombre;2021;2020;2019;2018;2017;AumentoPoblacion
"""38001""";Adeje;48733;49030;47869;47280;46833;1900
"""38002""";Agulo;1099;1110;1096;1067;1066;33
"""38003""";Alajeró;2047;2026;2017;2006;1983;64
"""38004""";Arafo;5604;5593;5551;5562;5531;73
"""38005""";Arico;8234;8111;7988;7831;7594;640
"""38006""";Arona;82563;82777;81216;79448;78930;3633
"""38007""";Barlovento;1921;1926;1876;1855;1859;62
"""38008""";Breña Alta;7196;7247;7204;7154;7061;135
"""38009""";Breña Baja;5866;5821;5690;5498;5434;432
"""38010""";Buenavista del Norte;4766;4786;4778;4755;4797;-31
"""38011""";Candelaria;28463;28383;27985;27641;27149;1314
"""38012""";Fasnia;2807;2818;2786;2768;2743;64
"""38013""";Frontera;4278;4184;4093;4018;3983;295
"""38014""";Fuencaliente de la Palma;1756;1751;1722;1709;1695;61
"""38015""";Garachico;4895;4869;4871;4819;4827;68
"""38016""";Garafía;1813;1730;1667;1626;1584;229
"""38017""";Granadilla de Abona;51850;51233;50146;48374;46816;5034
"""38018""";Guancha, La;5553;5540;5520;5428;5426;127
"""38019""";Guía de Isora;21827;21796;21368;20991;20537;1290
"""38020""";Güímar;21000;20662;20190;19739;19273;1727
"""38021""";Hermigua;1767;1775;1832;1805;1808;-41
"""38022""";Icod de los Vinos;23310;23316;23254;22749;22558;752
"""38024""";Llanos de Aridane, Los;20648;20760;20467;20171;20107;541
"""38025""";Matanza de Acentejo, La;9114;9059;9061;8956;8854;260
"""38026""";Orotava, La;42219;42187;42029;41833;41500;719
"""38027""";Paso, El;7745;7623;7622;7543;7464;281
"""38901""";Pinar de El Hierro, El;1936;1894;1870;1825;1776;160
"""38028""";Puerto de la Cruz;30179;30492;30468;30483;30036;143
"""38029""";Puntagorda;2234;2203;2110;2073;2009;225
"""38030""";Puntallana;2549;2553;2506;2493;2429;120
"""38031""";Realejos, Los;36824;36727;36402;36405;36218;606
"""38032""";Rosario, El;17590;17496;17370;17352;17312;278
"""38033""";San Andrés y Sauces;4213;4182;4141;4112;4135;78
"""38023""";San Cristóbal de La Laguna;158010;158911;157503;155549;153655;4355
"""38034""";San Juan de la Rambla;4854;4873;4828;4799;4828;26
"""38035""";San Miguel de Abona;21872;21621;20886;19672;18887;2985
"""38036""";San Sebastián de la Gomera;9261;9258;9093;8945;8760;501
"""38037""";Santa Cruz de la Palma;15446;15695;15716;15674;15581;-135
"""38038""";Santa Cruz de Tenerife;208563;209194;207312;204856;203692;4871
"""38039""";Santa Úrsula;14987;14953;14679;14445;14189;798
"""38040""";Santiago del Teide;11115;11281;11111;10755;10576;539
"""38041""";Sauzal, El;8918;8940;8934;8947;8873;45
"""38042""";Silos, Los;4692;4743;4693;4757;4848;-156
"""38043""";Tacoronte;24346;24201;24134;23961;23812;534
"""38044""";Tanque, El;2829;2852;2763;2670;2650;179
"""38045""";Tazacorte;4558;4601;4575;4600;4620;-62
"""38046""";Tegueste;11326;11287;11294;11203;11108;218
"""38047""";Tijarafe;2560;2507;2532;2564;2590;-30
"""38049""";Valle Gran Rey;4643;4630;4564;4484;4371;272
"""38050""";Vallehermoso;2917;2879;2901;2829;2988;-71
"""38048""";Valverde;5084;5069;5005;4955;4920;164
"""38051""";Victoria de Acentejo, La;9161;9158;9185;9040;8969;192
"""38052""";Vilaflor de Chasna;1789;1715;1667;1645;1615;174
"""38053""";Villa de Mazo;4875;4859;4843;4791;4782;93
