Municipio;Nombre;2021;2020;2019;2018;2017;AumentoPoblacion
"""41001""";Aguadulce;2022;2035;2020;2026,0;2047,0;-25,0
"""41002""";Alanís;1716;1706;1723;1746,0;1781,0;-65,0
"""41003""";Albaida del Aljarafe;3221;3201;3197;3193,0;3137,0;84,0
"""41004""";Alcalá de Guadaíra;75546;75533;75279;75256,0;75106,0;440,0
"""41005""";Alcalá del Río;12264;12186;12029;11927,0;11950,0;314,0
"""41006""";Alcolea del Río;3348;3347;3373;3387,0;3413,0;-65,0
"""41007""";Algaba, La;16484;16503;16374;16301,0;16275,0;209,0
"""41008""";Algámitas;1253;1253;1255;1248,0;1284,0;-31,0
"""41009""";Almadén de la Plata;1331;1307;1355;1379,0;1424,0;-93,0
"""41010""";Almensilla;6287;6175;6080;6008,0;5929,0;358,0
"""41011""";Arahal;19497;19533;19526;19565,0;19532,0;-35,0
"""41012""";Aznalcázar;4614;4588;4586;4495,0;4493,0;121,0
"""41013""";Aznalcóllar;6060;6083;6091;6092,0;6116,0;-56,0
"""41014""";Badolatosa;3099;3079;3078;3094,0;3121,0;-22,0
"""41015""";Benacazón;7322;7222;7241;7177,0;7167,0;155,0
"""41016""";Bollullos de la Mitación;11099;10931;10787;10647,0;10512,0;587,0
"""41017""";Bormujos;22390;22180;21972;21964,0;21667,0;723,0
"""41018""";Brenes;12581;12501;12471;12608,0;12638,0;-57,0
"""41019""";Burguillos;6902;6766;6716;6618,0;6523,0;379,0
"""41020""";Cabezas de San Juan, Las;16335;16358;16417;16379,0;16418,0;-83,0
"""41021""";Camas;27490;27560;27509;27463,0;27293,0;197,0
"""41022""";Campana, La;5228;5238;5276;5281,0;5349,0;-121,0
"""41023""";Cantillana;10755;10736;10684;10661,0;10612,0;143,0
"""41901""";Cañada Rosal;3347;3325;3320;3307,0;3307,0;40,0
"""41024""";Carmona;29123;28834;28531;28620,0;28540,0;583,0
"""41025""";Carrión de los Céspedes;2587;2547;2544;2500,0;2524,0;63,0
"""41026""";Casariche;5384;5429;5456;5530,0;5566,0;-182,0
"""41027""";Castilblanco de los Arroyos;5059;4899;4864;4810,0;4831,0;228,0
"""41028""";Castilleja de Guzmán;2860;2833;2821;2826,0;2835,0;25,0
"""41029""";Castilleja de la Cuesta;17366;17516;17418;17350,0;17429,0;-63,0
"""41030""";Castilleja del Campo;633;640;629;625,0;628,0;5,0
"""41031""";Castillo de las Guardas, El;1512;1468;1443;1439,0;1464,0;48,0
"""41032""";Cazalla de la Sierra;4752;4684;4718;4789,0;4849,0;-97,0
"""41033""";Constantina;5864;5864;5896;5954,0;6040,0;-176,0
"""41034""";Coria del Río;30774;30908;30777;30657,0;30535,0;239,0
"""41035""";Coripe;1241;1238;1251;1290,0;1298,0;-57,0
"""41036""";Coronil, El;4699;4717;4746;4807,0;4830,0;-131,0
"""41037""";Corrales, Los;3985;3938;3941;3958,0;3997,0;-12,0
"""41903""";Cuervo de Sevilla, El;8667;8656;8610;8628,0;8698,0;-31,0
"""41038""";Dos Hermanas;136250;135050;133968;133168,0;132551,0;3699,0
"""41039""";Écija;39838;39893;39873;39882,0;40087,0;-249,0
"""41040""";Espartinas;16048;15824;15791;15683,0;15423,0;625,0
"""41041""";Estepa;12459;12497;12505;12503,0;12526,0;-67,0
"""41042""";Fuentes de Andalucía;7160;7152;7111;7139,0;7149,0;11,0
"""41043""";Garrobo, El;812;782;790;789,0;775,0;37,0
"""41044""";Gelves;10295;10193;10184;10054,0;10051,0;244,0
"""41045""";Gerena;7740;7674;7585;7541,0;7489,0;251,0
"""41046""";Gilena;3709;3727;3727;3790,0;3826,0;-117,0
"""41047""";Gines;13529;13428;13420;13471,0;13361,0;168,0
"""41048""";Guadalcanal;2588;2608;2627;2646,0;2659,0;-71,0
"""41049""";Guillena;13054;12903;12788;12650,0;12647,0;407,0
"""41050""";Herrera;6504;6464;6461;6485,0;6463,0;41,0
"""41051""";Huévar del Aljarafe;3129;3060;3015;2944,0;2883,0;246,0
"""41902""";Isla Mayor;5826;5825;5839;5857,0;5889,0;-63,0
"""41052""";Lantejuela;3856;3846;3814;3834,0;3836,0;20,0
"""41053""";Lebrija;27616;27578;27524;27432,0;27410,0;206,0
"""41054""";Lora de Estepa;875;873;862;860,0;852,0;23,0
"""41055""";Lora del Río;18578;18630;18662;18861,0;18934,0;-356,0
"""41056""";Luisiana, La;4587;4578;4576;4572,0;4569,0;18,0
"""41057""";Madroño, El;300;287;278;282,0;284,0;16,0
"""41058""";Mairena del Alcor;23893;23698;23550;23473,0;23222,0;671,0
"""41059""";Mairena del Aljarafe;46895;46555;46089;45890,0;45471,0;1424,0
"""41060""";Marchena;19317;19329;19457;19580,0;19691,0;-374,0
"""41061""";Marinaleda;2618;2592;2627;2626,0;2665,0;-47,0
"""41062""";Martín de la Jara;2663;2665;2704;2720,0;2740,0;-77,0
"""41063""";Molares, Los;3563;3518;3480;3460,0;3455,0;108,0
"""41064""";Montellano;7014;7053;7056;7081,0;7073,0;-59,0
"""41065""";Morón de la Frontera;27582;27633;27627;27844,0;27930,0;-348,0
"""41066""";Navas de la Concepción, Las;1538;1542;1559;1581,0;1601,0;-63,0
"""41067""";Olivares;9452;9466;9394;9390,0;9422,0;30,0
"""41068""";Osuna;17594;17621;17560;17622,0;17735,0;-141,0
"""41069""";Palacios y Villafranca, Los;38678;38548;38354;38246,0;38246,0;432,0
"""41904""";Palmar de Troya, El;2340;2343;2340;;;
"""41070""";Palomares del Río;9020;8843;8767;8552,0;8418,0;602,0
"""41071""";Paradas;6850;6857;6908;6924,0;6923,0;-73,0
"""41072""";Pedrera;5147;5158;5194;5205,0;5308,0;-161,0
"""41073""";Pedroso, El;2038;2009;2018;2037,0;2055,0;-17,0
"""41074""";Peñaflor;3648;3639;3656;3669,0;3680,0;-32,0
"""41075""";Pilas;13856;13952;13974;13949,0;13988,0;-132,0
"""41076""";Pruna;2604;2605;2603;2658,0;2671,0;-67,0
"""41077""";Puebla de Cazalla, La;10896;10932;10979;11033,0;11081,0;-185,0
"""41078""";Puebla de los Infantes, La;2999;2980;2991;3013,0;3051,0;-52,0
"""41079""";Puebla del Río, La;11873;11920;11868;11879,0;11914,0;-41,0
"""41080""";Real de la Jara, El;1513;1494;1503;1507,0;1530,0;-17,0
"""41081""";Rinconada, La;39204;39062;38628;38406,0;38339,0;865,0
"""41082""";Roda de Andalucía, La;4223;4175;4183;4243,0;4277,0;-54,0
"""41083""";Ronquillo, El;1431;1377;1364;1360,0;1354,0;77,0
"""41084""";Rubio, El;3376;3369;3408;3445,0;3457,0;-81,0
"""41085""";Salteras;5646;5564;5530;5477,0;5499,0;147,0
"""41086""";San Juan de Aznalfarache;22088;21774;21416;21195,0;21458,0;630,0
"""41088""";San Nicolás del Puerto;608;596;596;599,0;593,0;15,0
"""41087""";Sanlúcar la Mayor;14026;13943;13808;13683,0;13583,0;443,0
"""41089""";Santiponce;8491;8538;8554;8442,0;8445,0;46,0
"""41090""";Saucejo, El;4247;4235;4284;4301,0;4310,0;-63,0
"""41091""";Sevilla;684234;691395;688592;688711,0;689434,0;-5200,0
"""41092""";Tocina;9508;9486;9501;9578,0;9656,0;-148,0
"""41093""";Tomares;25370;25455;25359;25220,0;25042,0;328,0
"""41094""";Umbrete;9086;9000;8894;8768,0;8695,0;391,0
"""41095""";Utrera;51145;50962;50728;52617,0;52701,0;-1556,0
"""41096""";Valencina de la Concepción;7894;7776;7751;7803,0;7860,0;34,0
"""41097""";Villamanrique de la Condesa;4531;4477;4459;4478,0;4454,0;77,0
"""41100""";Villanueva de San Juan;1076;1090;1120;1155,0;1181,0;-105,0
"""41098""";Villanueva del Ariscal;6673;6591;6610;6571,0;6573,0;100,0
