Municipio;Nombre;2021;2020;2019;2018;2017;AumentoPoblacion
"""31001""";Abáigar;84;82;83;87;88;-4
"""31002""";Abárzuza/Abartzuza;538;544;538;550;524;14
"""31003""";Abaurregaina/Abaurrea Alta;128;127;126;121;124;4
"""31004""";Abaurrepea/Abaurrea Baja;29;31;32;33;34;-5
"""31005""";Aberin;346;340;359;356;358;-12
"""31006""";Ablitas;2480;2484;2481;2483;2514;-34
"""31007""";Adiós;167;152;155;156;155;12
"""31008""";Aguilar de Codés;69;66;67;72;72;-3
"""31009""";Aibar/Oibar;782;794;805;791;800;-18
"""31011""";Allín/Allin;884;874;872;850;853;31
"""31012""";Allo;925;960;968;983;980;-55
"""31010""";Altsasu/Alsasua;7441;7465;7443;7407;7419;22
"""31013""";Améscoa Baja;721;711;724;730;750;-29
"""31014""";Ancín/Antzin;330;338;337;340;357;-27
"""31015""";Andosilla;2752;2784;2743;2715;2718;34
"""31016""";Ansoáin/Antsoain;10732;10836;10833;10739;10752;-20
"""31017""";Anue;493;481;482;485;477;16
"""31018""";Añorbe;614;595;581;568;543;71
"""31019""";Aoiz/Agoitz;2791;2777;2695;2624;2561;230
"""31020""";Araitz;512;523;512;525;523;-11
"""31025""";Arakil;966;962;933;949;947;19
"""31021""";Aranarache/Aranaratxe;69;70;72;70;74;-5
"""31023""";Aranguren;11726;11306;10859;10512;10239;1487
"""31024""";Arano;114;116;116;116;110;4
"""31022""";Arantza;606;608;597;614;623;-17
"""31026""";Aras;153;147;153;157;163;-10
"""31027""";Arbizu;1113;1109;1104;1124;1119;-6
"""31028""";Arce/Artzi;253;262;262;264;271;-18
"""31029""";Arcos, Los;1132;1127;1134;1117;1104;28
"""31030""";Arellano;164;148;157;157;159;5
"""31031""";Areso;275;283;279;275;261;14
"""31032""";Arguedas;2310;2287;2272;2315;2300;10
"""31033""";Aria;49;51;51;53;53;-4
"""31034""";Aribe;32;32;33;36;41;-9
"""31035""";Armañanzas;47;52;53;55;60;-13
"""31036""";Arróniz;1049;1038;1051;1047;1044;5
"""31037""";Arruazu;100;106;110;106;101;-1
"""31038""";Artajona;1741;1691;1675;1669;1658;83
"""31039""";Artazu;117;111;116;118;117;0
"""31040""";Atez/Atetz;221;225;215;212;227;-6
"""31058""";Auritz/Burguete;228;227;231;242;244;-16
"""31041""";Ayegui/Aiegi;2430;2395;2366;2331;2346;84
"""31042""";Azagra;3781;3840;3843;3853;3843;-62
"""31043""";Azuelo;27;26;31;32;34;-7
"""31044""";Bakaiku;353;360;362;345;345;8
"""31901""";Barañáin/Barañain;19853;20167;20199;20039;20124;-271
