Municipio;Nombre;2021;2020;2019;2018;2017;AumentoPoblacion
"""46001""";Ademuz;1027;1037;1042;1046;1073;-46
"""46002""";Ador;1772;1730;1508;1393;1400;372
"""46004""";Agullent;2369;2388;2410;2413;2387;-18
"""46042""";Aielo de Malferit;4592;4625;4618;4646;4706;-114
"""46043""";Aielo de Rugat;160;160;155;155;160;0
"""46005""";Alaquàs;29649;29711;29561;29341;29474;175
"""46006""";Albaida;5975;5914;5900;5908;5946;29
"""46007""";Albal;16646;16577;16399;16270;16244;402
"""46008""";Albalat de la Ribera;3368;3326;3360;3329;3361;7
"""46009""";Albalat dels Sorells;4110;4036;3977;3944;3900;210
"""46010""";Albalat dels Tarongers;1324;1208;1232;1202;1169;155
"""46011""";Alberic;10571;10519;10526;10556;10504;67
"""46012""";Alborache;1283;1229;1160;1127;1140;143
"""46013""";Alboraia/Alboraya;24904;24741;24454;24222;24031;873
"""46014""";Albuixech;4189;4151;4017;3983;3911;278
"""46016""";Alcàntera de Xúquer;1402;1341;1291;1297;1318;84
"""46015""";Alcàsser;10266;10196;10039;9908;9813;453
"""46018""";Alcublas;610;611;628;654;678;-68
"""46020""";Alcúdia de Crespins, l';5144;5113;5157;5188;5108;36
"""46019""";Alcúdia, l';12193;12107;12009;11938;11926;267
"""46021""";Aldaia;32313;32204;31864;31492;31320;993
"""46022""";Alfafar;21415;21395;20890;20763;20776;639
"""46024""";Alfara de la Baronia;590;569;557;539;535;55
"""46025""";Alfara del Patriarca;3301;3282;3310;3314;3348;-47
"""46026""";Alfarp;1564;1571;1544;1532;1517;47
"""46027""";Alfarrasí;1206;1219;1225;1262;1256;-50
"""46023""";Alfauir;467;449;437;440;448;19
"""46028""";Algar de Palancia;499;491;481;470;471;28
"""46029""";Algemesí;27305;27430;27331;27285;27511;-206
"""46030""";Algímia d'Alfara;1079;1053;1011;1019;1051;28
"""46031""";Alginet;13942;13827;13380;13100;13186;756
"""46032""";Almàssera;7433;7438;7349;7295;7308;125
"""46033""";Almiserà;264;265;262;258;261;3
"""46034""";Almoines;2528;2477;2414;2379;2343;185
"""46035""";Almussafes;8984;8979;8967;8932;8914;70
"""46036""";Alpuente;659;635;633;637;644;15
"""46037""";Alqueria de la Comtessa, l';1481;1496;1476;1418;1443;38
"""46017""";Alzira;44865;44938;44352;44393;44255;610
"""46038""";Andilla;315;308;319;303;322;-7
"""46039""";Anna;2627;2615;2628;2638;2639;-12
"""46040""";Antella;1127;1157;1175;1209;1233;-106
"""46041""";Aras de los Olmos;374;359;381;374;375;-1
"""46003""";Atzeneta d'Albaida;1139;1162;1165;1162;1155;-16
"""46044""";Ayora;5215;5283;5312;5276;5311;-96
"""46046""";Barx;1354;1303;1277;1229;1227;127
"""46045""";Barxeta;1604;1586;1601;1604;1577;27
"""46047""";Bèlgida;654;679;673;672;690;-36
"""46048""";Bellreguard;4632;4618;4608;4549;4550;82
"""46049""";Bellús;311;299;304;314;315;-4
"""46050""";Benagéber;184;180;192;190;192;-8
"""46051""";Benaguasil;11369;11256;10988;10878;10960;409
"""46052""";Benavites;653;638;619;594;613;40
"""46053""";Beneixida;639;627;651;648;648;-9
"""46054""";Benetússer;15430;15000;14799;14668;14495;935
"""46055""";Beniarjó;1780;1767;1765;1746;1759;21
"""46056""";Beniatjar;207;219;223;224;219;-12
"""46057""";Benicolet;587;574;569;582;585;2
"""46904""";Benicull de Xúquer;1095;1048;1012;974;970;125
"""46060""";Benifaió;11967;11989;11962;11930;11956;11
"""46059""";Benifairó de la Valldigna;1542;1558;1571;1580;1596;-54
"""46058""";Benifairó de les Valls;2268;2213;2186;2168;2205;63
"""46061""";Beniflá;463;460;457;455;458;5
"""46062""";Benigànim;5742;5779;5841;5899;5850;-108
"""46063""";Benimodo;2253;2272;2268;2241;2230;23
"""46064""";Benimuslem;653;667;653;660;656;-3
"""46065""";Beniparrell;2024;2015;1952;1931;1964;60
"""46066""";Benirredrà;1547;1555;1592;1576;1570;-23
"""46067""";Benissanó;2334;2291;2260;2224;2238;96
"""46068""";Benissoda;441;432;430;418;425;16
"""46069""";Benissuera;183;185;194;180;194;-11
"""46070""";Bétera;25423;24604;24272;23647;23178;2245
"""46071""";Bicorp;527;529;533;524;526;1
"""46072""";Bocairent;4101;4142;4195;4214;4271;-170
"""46073""";Bolbaite;1336;1324;1356;1347;1362;-26
"""46074""";Bonrepòs i Mirambell;3780;3738;3691;3645;3629;151
"""46075""";Bufali;163;156;161;159;163;0
"""46076""";Bugarra;728;739;727;715;711;17
"""46077""";Buñol;9438;9498;9408;9517;9596;-158
"""46078""";Burjassot;38712;38632;38024;37584;37575;1137
"""46079""";Calles;368;355;355;342;345;23
"""46080""";Camporrobles;1204;1198;1191;1195;1217;-13
"""46081""";Canals;13257;13516;13587;13588;13631;-374
"""46082""";Canet d'En Berenguer;6812;6765;6697;6575;6473;339
"""46083""";Carcaixent;20494;20436;20358;20424;20483;11
"""46084""";Càrcer;1822;1827;1862;1876;1923;-101
"""46085""";Carlet;15851;15740;15598;15514;15446;405
"""46086""";Carrícola;102;99;94;93;95;7
"""46087""";Casas Altas;132;131;131;136;139;-7
"""46088""";Casas Bajas;164;163;164;172;172;-8
"""46089""";Casinos;2881;2780;2777;2773;2759;122
"""46257""";Castelló;6996;7054;7049;7095;7209;-213
"""46090""";Castelló de Rugat;2316;2298;2274;2275;2278;38
"""46091""";Castellonet de la Conquesta;139;141;147;145;138;1
"""46092""";Castielfabib;299;308;317;306;311;-12
"""46093""";Catadau;2846;2804;2777;2830;2773;73
"""46094""";Catarroja;28509;28608;28120;27827;27752;757
"""46095""";Caudete de las Fuentes;701;711;700;696;706;-5
"""46096""";Cerdà;345;331;331;334;341;4
"""46107""";Chella;2437;2472;2435;2469;2513;-76
"""46106""";Chelva;1583;1531;1489;1498;1516;67
"""46108""";Chera;490;469;474;494;484;6
"""46109""";Cheste;8871;8735;8494;8319;8372;499
"""46111""";Chiva;15769;15414;15123;14941;14867;902
"""46112""";Chulilla;700;662;665;615;628;72
"""46097""";Cofrentes;1122;1123;1130;1125;1104;18
"""46098""";Corbera;3088;3088;3100;3160;3190;-102
"""46099""";Cortes de Pallás;758;771;814;818;876;-118
"""46100""";Cotes;326;333;333;332;336;-10
"""46105""";Cullera;22708;22521;22145;21918;21999;709
"""46113""";Daimús;3277;3196;3117;3128;3018;259
"""46114""";Domeño;670;673;708;704;689;-19
"""46115""";Dos Aguas;312;327;376;355;379;-67
"""46116""";Eliana, l';18302;18362;18235;18050;17760;542
"""46117""";Emperador;698;688;687;692;707;-9
"""46118""";Enguera;4779;4777;4752;4800;4926;-147
"""46119""";Ènova, l';912;902;887;903;919;-7
"""46120""";Estivella;1491;1441;1456;1432;1416;75
"""46121""";Estubeny;114;125;121;122;119;-5
"""46122""";Faura;3563;3553;3538;3547;3503;60
"""46123""";Favara;2563;2504;2518;2490;2473;90
"""46126""";Foios;7502;7452;7367;7342;7234;268
"""46128""";Font de la Figuera, la;2025;2027;2038;2038;2067;-42
"""46127""";Font d'En Carròs, la;3793;3778;3794;3790;3743;50
"""46124""";Fontanars dels Alforins;959;959;971;979;985;-26
"""46125""";Fortaleny;1011;1020;1026;1030;1033;-22
"""46129""";Fuenterrobles;694;694;682;682;709;-15
"""46131""";Gandia;75970;75798;74562;73829;74121;1849
"""46902""";Gátova;419;405;378;392;398;21
"""46130""";Gavarda;1035;1042;1038;1058;1073;-38
"""46132""";Genovés, el;2785;2778;2842;2828;2815;-30
"""46133""";Gestalgar;541;548;556;554;596;-55
"""46134""";Gilet;3501;3404;3324;3276;3308;193
"""46135""";Godella;13027;13131;13088;13058;13031;-4
"""46136""";Godelleta;3714;3584;3533;3462;3391;323
"""46137""";Granja de la Costera, la;281;295;285;297;312;-31
"""46138""";Guadasséquies;459;456;468;444;459;0
"""46139""";Guadassuar;5938;5902;5893;5914;5913;25
"""46140""";Guardamar de la Safor;547;531;526;491;472;75
"""46141""";Higueruelas;524;501;500;508;503;21
"""46142""";Jalance;795;834;830;845;852;-57
"""46144""";Jarafuel;772;769;754;776;785;-13
"""46154""";Llanera de Ranes;1056;1047;1055;1049;1042;14
"""46155""";Llaurí;1169;1130;1170;1209;1221;-52
"""46147""";Llíria;23648;23482;23253;22972;22793;855
"""46152""";Llocnou de la Corona;124;124;118;118;116;8
"""46153""";Llocnou de Sant Jeroni;557;554;546;542;544;13
"""46151""";Llocnou d'En Fenollet;912;916;916;893;887;25
"""46156""";Llombai;2651;2653;2685;2686;2702;-51
"""46157""";Llosa de Ranes, la;3687;3642;3575;3585;3599;88
"""46150""";Llutxent;2315;2326;2345;2373;2367;-52
"""46148""";Loriguilla;2027;2035;2025;1984;1985;42
"""46149""";Losa del Obispo;531;505;507;504;510;21
"""46158""";Macastre;1338;1300;1283;1240;1236;102
"""46159""";Manises;31287;31240;30919;30693;30630;657
"""46160""";Manuel;2452;2436;2428;2439;2448;4
"""46161""";Marines;1894;1848;1828;1828;1858;36
