Municipio;Nombre;2021;2020;2019;2018;2017;AumentoPoblacion
"""37001""";Abusejo;166;175;183;193;203;-37
"""37002""";Agallas;128;132;136;146;153;-25
"""37003""";Ahigal de los Aceiteros;114;113;114;120;126;-12
"""37004""";Ahigal de Villarino;24;29;31;34;35;-11
"""37005""";Alameda de Gardón, La;67;68;70;76;79;-12
"""37006""";Alamedilla, La;121;118;126;138;140;-19
"""37007""";Alaraz;429;425;439;463;481;-52
"""37008""";Alba de Tormes;5159;5166;5186;5166;5198;-39
"""37009""";Alba de Yeltes;216;214;207;220;225;-9
"""37010""";Alberca, La;1065;1071;1081;1107;1128;-63
"""37011""";Alberguería de Argañán, La;107;106;112;116;123;-16
"""37012""";Alconada;144;152;149;155;160;-16
"""37015""";Aldea del Obispo;252;246;243;266;281;-29
"""37013""";Aldeacipreste;100;106;109;116;119;-19
"""37014""";Aldeadávila de la Ribera;1181;1209;1224;1239;1258;-77
"""37016""";Aldealengua;673;666;664;696;677;-4
"""37017""";Aldeanueva de Figueroa;244;250;254;256;263;-19
"""37018""";Aldeanueva de la Sierra;110;109;115;113;107;3
"""37019""";Aldearrodrigo;147;139;143;141;148;-1
"""37020""";Aldearrubia;519;495;480;486;481;38
"""37021""";Aldeaseca de Alba;73;74;70;74;77;-4
"""37022""";Aldeaseca de la Frontera;253;257;261;269;280;-27
"""37023""";Aldeatejada;2307;2210;2064;1989;1878;429
"""37024""";Aldeavieja de Tormes;100;100;104;102;103;-3
"""37025""";Aldehuela de la Bóveda;279;273;275;290;289;-10
"""37026""";Aldehuela de Yeltes;193;190;190;195;198;-5
"""37027""";Almenara de Tormes;289;287;262;254;254;35
"""37028""";Almendra;140;142;146;157;164;-24
"""37029""";Anaya de Alba;188;189;201;215;211;-23
"""37030""";Añover de Tormes;91;89;86;93;94;-3
"""37031""";Arabayona de Mógica;339;343;357;372;380;-41
"""37032""";Arapiles;669;651;660;644;653;16
"""37033""";Arcediano;96;95;107;102;103;-7
"""37034""";Arco, El;93;88;86;86;87;6
"""37035""";Armenteros;192;194;198;200;209;-17
"""37037""";Atalaya, La;108;108;114;113;117;-9
"""37038""";Babilafuente;932;917;885;911;919;13
"""37039""";Bañobárez;287;291;305;309;302;-15
"""37040""";Barbadillo;402;388;402;410;414;-12
"""37041""";Barbalos;74;70;73;75;77;-3
"""37042""";Barceo;44;43;46;46;49;-5
"""37044""";Barruecopardo;443;448;450;442;461;-18
"""37045""";Bastida, La;32;25;28;26;27;5
"""37046""";Béjar;12269;12559;12739;12961;13221;-952
"""37047""";Beleña;227;244;256;223;229;-2
"""37049""";Bermellar;133;124;134;132;136;-3
"""37050""";Berrocal de Huebra;79;68;70;69;69;10
"""37051""";Berrocal de Salvatierra;83;83;84;85;85;-2
"""37052""";Boada;299;306;302;315;292;7
"""37054""";Bodón, El;256;258;270;286;285;-29
"""37055""";Bogajo;134;133;134;137;141;-7
"""37056""";Bouza, La;55;55;55;53;52;3
"""37057""";Bóveda del Río Almar;221;225;229;231;237;-16
"""37058""";Brincones;53;55;58;56;58;-5
"""37059""";Buenamadre;119;124;127;132;133;-14
"""37060""";Buenavista;365;350;360;351;326;39
"""37061""";Cabaco, El;223;205;221;232;245;-22
"""37063""";Cabeza de Béjar, La;60;60;62;67;72;-12
"""37065""";Cabeza del Caballo;257;279;279;291;316;-59
"""37062""";Cabezabellosa de la Calzada;75;78;77;77;83;-8
"""37067""";Cabrerizos;4284;4254;4263;4256;4196;88
"""37068""";Cabrillas;355;371;370;383;395;-40
"""37069""";Calvarrasa de Abajo;1169;1166;1163;1152;1152;17
"""37070""";Calvarrasa de Arriba;594;573;586;600;603;-9
"""37071""";Calzada de Béjar, La;91;91;86;86;87;4
"""37072""";Calzada de Don Diego;148;153;152;161;170;-22
"""37073""";Calzada de Valdunciel;698;690;703;676;666;32
"""37074""";Campillo de Azaba;155;155;159;164;162;-7
"""37077""";Campo de Peñaranda, El;249;256;261;266;271;-22
"""37078""";Candelario;874;860;879;906;934;-60
"""37079""";Canillas de Abajo;80;77;86;77;78;2
"""37080""";Cantagallo;267;265;255;260;261;6
"""37081""";Cantalapiedra;923;950;953;986;1003;-80
"""37082""";Cantalpino;821;833;851;878;895;-74
"""37083""";Cantaracillo;197;191;190;195;194;3
"""37085""";Carbajosa de la Sagrada;7368;7251;7116;6947;6848;520
"""37086""";Carpio de Azaba;116;113;112;100;105;11
"""37087""";Carrascal de Barregas;1295;1231;1206;1188;1151;144
"""37088""";Carrascal del Obispo;194;206;209;217;223;-29
"""37089""";Casafranca;61;64;65;68;70;-9
"""37090""";Casas del Conde, Las;64;59;69;61;56;8
"""37091""";Casillas de Flores;191;184;178;191;187;4
"""37092""";Castellanos de Moriscos;2809;2724;2677;2615;2557;252
