Municipio;Nombre;2021;2020;2019;2018;2017;AumentoPoblacion
"""05001""";Adanero;196;211;196;202;211;-15
"""05002""";Adrada, La;2757;2539;2480;2517;2583;174
"""05005""";Albornos;172;177;183;190;199;-27
"""05007""";Aldeanueva de Santa Cruz;113;117;118;119;120;-7
"""05008""";Aldeaseca;219;228;238;233;255;-36
"""05010""";Aldehuela, La;147;153;162;168;172;-25
"""05012""";Amavida;128;127;132;135;139;-11
"""05013""";Arenal, El;943;948;973;972;996;-53
"""05014""";Arenas de San Pedro;6434;6344;6377;6454;6556;-122
"""05015""";Arevalillo;67;69;73;75;78;-11
"""05016""";Arévalo;7881;7960;7986;8069;8087;-206
"""05017""";Aveinte;82;83;86;86;83;-1
"""05018""";Avellaneda;26;26;24;26;29;-3
"""05019""";Ávila;57949;58369;57744;57657;58149;-200
"""05021""";Barco de Ávila, El;2298;2330;2312;2368;2436;-138
"""05022""";Barraco, El;1973;1893;1861;1889;1886;87
"""05023""";Barromán;181;185;185;186;183;-2
"""05024""";Becedas;183;191;196;206;219;-36
"""05025""";Becedillas;77;80;84;90;95;-18
"""05026""";Bercial de Zapardiel;195;197;200;199;206;-11
"""05027""";Berlanas, Las;334;329;319;323;324;10
"""05029""";Bernuy-Zapardiel;90;97;102;108;121;-31
"""05030""";Berrocalejo de Aragona;49;49;46;43;39;10
"""05033""";Blascomillán;181;181;193;193;199;-18
"""05034""";Blasconuño de Matacabras;14;14;16;16;14;0
"""05035""";Blascosancho;101;96;105;114;106;-5
"""05036""";Bohodón, El;117;117;120;126;126;-9
"""05037""";Bohoyo;231;232;237;248;261;-30
"""05038""";Bonilla de la Sierra;131;125;120;120;124;7
"""05039""";Brabos;42;43;46;44;47;-5
"""05040""";Bularros;63;66;66;65;68;-5
"""05041""";Burgohondo;1231;1180;1195;1196;1225;6
"""05042""";Cabezas de Alambre;160;161;157;157;158;2
"""05043""";Cabezas del Pozo;68;70;75;84;83;-15
"""05044""";Cabezas del Villar;257;257;260;275;296;-39
"""05045""";Cabizuela;80;79;84;82;94;-14
"""05046""";Canales;39;42;45;48;49;-10
"""05047""";Candeleda;5049;5025;5018;4998;5002;47
"""05048""";Cantiveros;100;98;103;112;115;-15
"""05049""";Cardeñosa;427;435;447;452;440;-13
"""05051""";Carrera, La;164;167;175;181;184;-20
"""05052""";Casas del Puerto;83;85;89;92;99;-16
"""05053""";Casasola;68;73;75;84;84;-16
"""05054""";Casavieja;1422;1434;1424;1429;1468;-46
"""05055""";Casillas;646;640;638;637;650;-4
"""05056""";Castellanos de Zapardiel;94;94;97;95;95;-1
"""05057""";Cebreros;3246;3152;3120;3056;3100;146
"""05058""";Cepeda la Mora;70;74;74;76;80;-10
"""05067""";Chamartín;68;74;76;79;82;-14
"""05059""";Cillán;82;88;93;100;108;-26
"""05060""";Cisla;104;98;102;109;110;-6
"""05061""";Colilla, La;341;335;336;329;328;13
"""05062""";Collado de Contreras;158;160;168;179;181;-23
"""05063""";Collado del Mirón;29;31;32;32;35;-6
"""05064""";Constanzana;107;105;108;106;109;-2
"""05065""";Crespos;494;493;495;496;516;-22
"""05066""";Cuevas del Valle;514;475;484;491;492;22
"""05903""";Diego del Carpio;117;126;139;147;148;-31
"""05069""";Donjimeno;72;77;78;79;79;-7
"""05070""";Donvidas;30;30;34;33;36;-6
"""05072""";Espinosa de los Caballeros;109;112;114;106;96;13
"""05073""";Flores de Ávila;287;295;306;307;321;-34
"""05074""";Fontiveros;734;749;748;751;754;-20
"""05075""";Fresnedilla;110;107;116;121;127;-17
"""05076""";Fresno, El;589;582;589;601;597;-8
"""05077""";Fuente el Saúz;157;159;170;165;170;-13
"""05078""";Fuentes de Año;96;95;100;105;108;-12
"""05079""";Gallegos de Altamiros;63;66;70;63;65;-2
"""05080""";Gallegos de Sobrinos;36;40;42;43;48;-12
"""05081""";Garganta del Villar;42;39;39;40;41;1
"""05082""";Gavilanes;576;563;586;587;598;-22
"""05083""";Gemuño;147;152;156;155;161;-14
"""05085""";Gil García;42;38;35;36;39;3
"""05084""";Gilbuena;60;60;64;68;70;-10
"""05086""";Gimialcón;74;75;75;77;78;-4
"""05087""";Gotarrendura;169;170;162;161;161;8
"""05088""";Grandes y San Martín;26;25;27;31;31;-5
"""05089""";Guisando;522;510;497;511;521;1
"""05090""";Gutierre-Muñoz;71;75;78;78;77;-6
"""05092""";Hernansancho;156;155;159;169;170;-14
"""05093""";Herradón de Pinares;436;419;413;405;480;-44
"""05094""";Herreros de Suso;131;129;126;135;134;-3
"""05095""";Higuera de las Dueñas;266;260;262;267;281;-15
"""05096""";Hija de Dios, La;80;75;80;78;81;-1
"""05097""";Horcajada, La;495;486;508;518;500;-5
"""05099""";Horcajo de las Torres;481;496;505;512;531;-50
"""05100""";Hornillo, El;281;277;290;295;289;-8
"""05102""";Hoyo de Pinares, El;2163;2129;2131;2164;2216;-53
"""05101""";Hoyocasero;278;281;293;290;303;-25
"""05103""";Hoyorredondo;60;61;63;67;71;-11
"""05106""";Hoyos de Miguel Muñoz;26;27;28;29;31;-5
"""05104""";Hoyos del Collado;31;33;33;34;36;-5
"""05105""";Hoyos del Espino;371;368;383;363;380;-9
