Municipio;Nombre;2021;2020;2019;2018;2017;AumentoPoblacion
"""35001""";Agaete;5695;5599;5586;5573;5526;169
"""35002""";Agüimes;32105;31914;31619;31152;30882;1223
"""35020""";Aldea de San Nicolás, La;7516;7508;7504;7608;7613;-97
"""35003""";Antigua;12783;12972;12461;11948;11405;1378
"""35004""";Arrecife;64497;64645;62988;61351;59771;4726
"""35005""";Artenara;1046;1049;1069;1090;1096;-50
"""35006""";Arucas;38535;38334;38138;37691;37367;1168
"""35007""";Betancuria;762;773;758;731;710;52
"""35008""";Firgas;7513;7438;7455;7491;7570;-57
"""35009""";Gáldar;24455;24370;24242;24209;24251;204
"""35010""";Haría;5365;5263;5123;4969;4858;507
"""35011""";Ingenio;31887;31694;31321;30831;30529;1358
"""35012""";Mogán;20572;20487;20072;19657;19783;789
"""35013""";Moya;7833;7746;7696;7728;7792;41
"""35014""";Oliva, La;27768;27234;26580;25884;25349;2419
"""35015""";Pájara;21014;21349;21093;20539;19823;1191
"""35016""";Palmas de Gran Canaria, Las;378675;381223;379925;378517;377650;1025
"""35017""";Puerto del Rosario;41786;41808;40753;39382;38711;3075
"""35018""";San Bartolomé;19058;19099;18816;18327;18249;809
"""35019""";San Bartolomé de Tirajana;53066;53397;53443;53588;53542;-476
"""35021""";Santa Brígida;18297;18394;18263;18314;18295;2
"""35022""";Santa Lucía de Tirajana;73573;74602;73328;71863;70396;3177
"""35023""";Santa María de Guía de Gran Canaria;13871;13897;13850;13924;13924;-53
"""35024""";Teguise;23044;22703;22342;22122;21896;1148
"""35025""";Tejeda;1865;1883;1909;1921;1950;-85
"""35026""";Telde;102769;102791;102647;102424;102005;764
"""35027""";Teror;12634;12522;12519;12449;12424;210
"""35028""";Tías;20801;20628;20170;20006;19964;837
"""35029""";Tinajo;6447;6434;6279;6119;6028;419
"""35030""";Tuineje;15549;15596;15241;14791;14301;1248
"""35032""";Valleseco;3754;3727;3749;3784;3810;-56
"""35031""";Valsequillo de Gran Canaria;9382;9377;9340;9278;9191;191
"""35033""";Vega de San Mateo;7645;7569;7556;7625;7562;83
"""35034""";Yaiza;16977;17040;16571;16289;16257;720
