Municipio;Nombre;2021;2020;2019;2018;2017;AumentoPoblacion
"""08001""";Abrera;12620;12538;12489;12334;12363;257
"""08002""";Aguilar de Segarra;286;282;288;277;263;23
"""08014""";Aiguafreda;2556;2512;2504;2501;2514;42
"""08003""";Alella;9954;9904;9801;9764;9625;329
"""08004""";Alpens;269;261;266;273;277;-8
"""08005""";Ametlla del Vallès, L';8787;8646;8462;8496;8368;419
"""08006""";Arenys de Mar;15942;15941;15776;15533;15368;574
"""08007""";Arenys de Munt;9191;9121;8931;8838;8728;463
"""08008""";Argençola;220;219;217;219;220;0
"""08009""";Argentona;12629;12536;12452;12295;12133;496
"""08010""";Artés;5782;5762;5698;5648;5585;197
"""08011""";Avià;2199;2220;2226;2250;2249;-50
"""08012""";Avinyó;2286;2289;2275;2250;2240;46
"""08013""";Avinyonet del Penedès;1701;1697;1701;1669;1653;48
"""08015""";Badalona;223006;223166;220440;217741;215848;7158
"""08904""";Badia del Vallès;13228;13415;13380;13417;13466;-238
"""08016""";Bagà;2145;2140;2138;2152;2149;-4
"""08017""";Balenyà;3900;3840;3821;3783;3665;235
"""08018""";Balsareny;3278;3192;3159;3205;3240;38
"""08252""";Barberà del Vallès;33016;33334;33091;32839;32860;156
"""08019""";Barcelona;1636732;1664182;1636762;1620343;1620809;15923
"""08020""";Begues;7356;7300;7098;6961;6830;526
"""08021""";Bellprat;73;64;64;74;74;-1
"""08022""";Berga;16682;16760;16494;16199;16115;567
"""08023""";Bigues i Riells del Fai;9542;9358;9092;9003;8957;585
"""08024""";Borredà;455;464;445;456;480;-25
"""08025""";Bruc, El;2177;2110;2050;2027;1988;189
"""08026""";Brull, El;275;258;263;257;258;17
"""08027""";Cabanyes, Les;1005;979;964;965;947;58
"""08028""";Cabrera d'Anoia;1521;1482;1410;1376;1364;157
"""08029""";Cabrera de Mar;4787;4747;4680;4664;4594;193
"""08030""";Cabrils;7567;7432;7439;7348;7296;271
"""08031""";Calaf;3597;3656;3535;3547;3477;120
"""08034""";Calders;1063;1045;970;946;962;101
"""08033""";Caldes de Montbui;17797;17812;17554;17449;17187;610
"""08032""";Caldes d'Estrac;3097;3021;2982;2859;2823;274
"""08035""";Calella;19236;19277;19069;18728;18481;755
"""08037""";Calldetenes;2504;2513;2489;2497;2446;58
"""08038""";Callús;2098;2129;2140;2095;2067;31
"""08036""";Calonge de Segarra;194;188;188;191;198;-4
"""08039""";Campins;540;541;529;515;498;42
"""08040""";Canet de Mar;14810;14865;14526;14583;14423;387
"""08041""";Canovelles;16872;16829;16629;16317;16145;727
"""08042""";Cànoves i Samalús;3219;3156;3117;2995;2906;313
"""08043""";Canyelles;4886;4699;4647;4481;4388;498
"""08044""";Capellades;5314;5342;5293;5211;5225;89
"""08045""";Capolat;84;84;94;96;99;-15
"""08046""";Cardedeu;18609;18424;18357;18165;18210;399
"""08047""";Cardona;4593;4639;4636;4652;4728;-135
"""08048""";Carme;768;785;765;783;791;-23
"""08049""";Casserres;1636;1588;1608;1572;1557;79
"""08057""";Castell de l'Areny;72;67;68;72;69;3
"""08052""";Castellar de n'Hug;167;156;159;165;159;8
"""08050""";Castellar del Riu;171;176;169;165;166;5
"""08051""";Castellar del Vallès;24659;24488;24187;24036;23776;883
"""08053""";Castellbell i el Vilar;3853;3719;3647;3599;3618;235
"""08054""";Castellbisbal;12610;12539;12390;12332;12297;313
"""08055""";Castellcir;753;742;752;728;723;30
"""08056""";Castelldefels;67226;67460;67004;66375;65954;1272
"""08058""";Castellet i la Gornal;2452;2382;2292;2247;2233;219
"""08060""";Castellfollit de Riubregós;163;162;151;156;160;3
"""08059""";Castellfollit del Boix;448;447;436;446;440;8
"""08061""";Castellgalí;2179;2119;2062;2053;2017;162
"""08062""";Castellnou de Bages;1420;1437;1397;1319;1303;117
"""08063""";Castellolí;653;626;619;610;599;54
"""08064""";Castellterçol;2632;2548;2463;2418;2374;258
"""08065""";Castellví de la Marca;1597;1575;1535;1534;1554;43
"""08066""";Castellví de Rosanes;1996;1933;1884;1865;1826;170
"""08067""";Centelles;7595;7513;7404;7423;7417;178
