Municipio;Nombre;2021;2020;2019;2018;2017;AumentoPoblacion
"""42001""";Abejar;273;286;297;302;318;-45
"""42003""";Adradas;55;59;69;44;48;7
"""42004""";Ágreda;3006;3026;3001;3008;2993;13
"""42006""";Alconaba;196;179;176;189;191;5
"""42007""";Alcubilla de Avellaneda;116;105;104;108;112;4
"""42008""";Alcubilla de las Peñas;51;52;57;59;62;-11
"""42009""";Aldealafuente;86;88;92;87;89;-3
"""42010""";Aldealices;29;35;36;34;30;-1
"""42011""";Aldealpozo;17;15;17;18;18;-1
"""42012""";Aldealseñor;32;29;31;30;31;1
"""42013""";Aldehuela de Periáñez;33;32;41;36;37;-4
"""42014""";Aldehuelas, Las;56;60;64;64;65;-9
"""42015""";Alentisque;26;30;33;33;33;-7
"""42016""";Aliud;22;20;20;18;17;5
"""42017""";Almajano;188;191;187;183;179;9
"""42018""";Almaluez;124;130;132;139;148;-24
"""42019""";Almarza;640;602;591;572;604;36
"""42020""";Almazán;5411;5477;5489;5526;5526;-115
"""42021""";Almazul;65;62;67;70;70;-5
"""42022""";Almenar de Soria;233;232;228;236;234;-1
"""42023""";Alpanseque;54;56;62;63;60;-6
"""42024""";Arancón;84;84;88;85;90;-6
"""42025""";Arcos de Jalón;1477;1454;1469;1489;1486;-9
"""42026""";Arenillas;47;47;21;24;26;21
"""42027""";Arévalo de la Sierra;73;76;78;81;76;-3
"""42028""";Ausejo de la Sierra;91;87;89;90;83;8
"""42029""";Baraona;127;133;135;142;143;-16
"""42030""";Barca;108;103;98;103;103;5
"""42031""";Barcones;21;20;22;23;22;-1
"""42032""";Bayubas de Abajo;135;141;142;147;146;-11
"""42033""";Bayubas de Arriba;61;53;57;51;48;13
"""42034""";Beratón;38;38;47;29;28;10
"""42035""";Berlanga de Duero;872;842;856;877;902;-30
"""42036""";Blacos;41;44;39;44;45;-4
"""42037""";Bliecos;29;31;33;35;36;-7
"""42038""";Borjabad;33;33;33;34;35;-2
"""42039""";Borobia;242;246;239;240;242;0
"""42041""";Buberos;29;31;31;33;33;-4
"""42042""";Buitrago;72;69;65;59;59;13
"""42043""";Burgo de Osma-Ciudad de Osma;5034;5038;4940;4926;4984;50
"""42044""";Cabrejas del Campo;48;51;53;56;56;-8
"""42045""";Cabrejas del Pinar;346;352;347;357;356;-10
"""42046""";Calatañazor;49;51;51;51;51;-2
"""42048""";Caltojar;57;56;52;57;59;-2
"""42049""";Candilichera;100;108;113;115;124;-24
"""42050""";Cañamaque;32;34;30;32;33;-1
"""42051""";Carabantes;15;14;15;16;19;-4
"""42052""";Caracena;14;14;17;15;13;1
"""42053""";Carrascosa de Abajo;18;20;21;23;23;-5
"""42054""";Carrascosa de la Sierra;17;17;19;17;18;-1
"""42055""";Casarejos;156;161;169;169;171;-15
"""42056""";Castilfrío de la Sierra;35;37;29;27;29;6
"""42058""";Castillejo de Robledo;104;101;103;109;117;-13
"""42057""";Castilruiz;153;161;162;169;181;-28
"""42059""";Centenera de Andaluz;21;19;20;21;22;-1
"""42060""";Cerbón;30;27;28;30;34;-4
"""42061""";Cidones;302;300;301;298;320;-18
"""42062""";Cigudosa;20;21;19;18;20;0
"""42063""";Cihuela;47;48;51;50;49;-2
"""42064""";Ciria;76;79;88;86;90;-14
"""42065""";Cirujales del Río;20;22;22;22;22;-2
"""42068""";Coscurita;72;77;79;79;81;-9
"""42069""";Covaleda;1621;1644;1680;1720;1749;-128
"""42070""";Cubilla;27;31;33;35;34;-7
"""42071""";Cubo de la Solana;179;181;184;198;182;-3
"""42073""";Cueva de Ágreda;67;71;73;72;70;-3
"""42075""";Dévanos;79;78;79;83;85;-6
"""42076""";Deza;211;217;214;216;230;-19
"""42078""";Duruelo de la Sierra;1066;1088;1090;1111;1122;-56
"""42079""";Escobosa de Almazán;20;20;21;22;23;-3
"""42080""";Espeja de San Marcelino;158;150;155;168;170;-12
"""42081""";Espejón;147;147;161;168;175;-28
"""42082""";Estepa de San Juan;9;9;7;6;7;2
"""42083""";Frechilla de Almazán;20;23;24;24;25;-5
"""42084""";Fresno de Caracena;20;20;21;18;20;0
"""42085""";Fuentearmegil;160;171;178;181;187;-27
"""42086""";Fuentecambrón;32;32;34;36;37;-5
"""42087""";Fuentecantos;66;63;61;53;55;11
"""42088""";Fuentelmonge;64;66;61;65;69;-5
"""42089""";Fuentelsaz de Soria;63;61;66;65;62;1
"""42090""";Fuentepinilla;82;82;88;88;91;-9
"""42092""";Fuentes de Magaña;54;59;64;61;64;-10
"""42093""";Fuentestrún;42;44;43;40;40;2
"""42094""";Garray;750;721;732;736;745;5
"""42095""";Golmayo;2844;2778;2626;2568;2561;283
"""42096""";Gómara;294;294;310;317;310;-16
"""42097""";Gormaz;21;20;16;21;27;-6
"""42098""";Herrera de Soria;9;9;9;9;9;0
"""42100""";Hinojosa del Campo;28;29;31;31;33;-5
"""42103""";Langa de Duero;694;683;704;719;746;-52
"""42105""";Liceras;47;47;49;52;53;-6
"""42106""";Losilla, La;12;13;14;14;13;-1
"""42107""";Magaña;68;68;69;73;80;-12
"""42108""";Maján;9;9;10;13;13;-4
"""42110""";Matalebreras;64;67;66;63;53;11
"""42111""";Matamala de Almazán;266;283;288;301;322;-56
"""42113""";Medinaceli;664;682;713;721;744;-80
"""42115""";Miño de Medinaceli;83;87;100;84;78;5
"""42116""";Miño de San Esteban;43;38;46;48;47;-4
"""42117""";Molinos de Duero;158;158;162;161;167;-9
"""42118""";Momblona;17;18;22;23;23;-6
"""42119""";Monteagudo de las Vicarías;179;176;185;193;206;-27
"""42120""";Montejo de Tiermes;148;151;155;153;161;-13
"""42121""";Montenegro de Cameros;51;54;57;57;61;-10
"""42123""";Morón de Almazán;191;194;193;200;203;-12
"""42124""";Muriel de la Fuente;54;58;61;60;64;-10
"""42125""";Muriel Viejo;82;79;85;86;88;-6
"""42127""";Nafría de Ucero;33;33;36;31;33;0
"""42128""";Narros;48;46;50;49;45;3
"""42129""";Navaleno;755;768;769;776;789;-34
"""42130""";Nepas;51;52;51;53;57;-6
"""42131""";Nolay;58;55;57;56;57;1
"""42132""";Noviercas;160;154;156;150;158;2
"""42134""";Ólvega;3668;3675;3656;3626;3621;47
"""42135""";Oncala;67;71;75;70;74;-7
"""42139""";Pinilla del Campo;20;21;21;20;24;-4
"""42140""";Portillo de Soria;14;15;14;14;16;-2
"""42141""";Póveda de Soria, La;112;104;123;106;114;-2
"""42142""";Pozalmuro;53;50;56;57;63;-10
"""42144""";Quintana Redonda;496;492;489;488;493;3
"""42145""";Quintanas de Gormaz;141;142;146;154;147;-6
"""42148""";Quiñonería;8;9;9;8;9;-1
"""42149""";Rábanos, Los;465;445;453;477;479;-14
"""42151""";Rebollar;41;42;42;38;39;2
"""42152""";Recuerda;71;71;79;87;88;-17
"""42153""";Rello;15;15;14;14;15;0
"""42154""";Renieblas;111;103;104;106;106;5
"""42155""";Retortillo de Soria;160;156;149;163;169;-9
"""42156""";Reznos;31;33;32;30;30;1
"""42157""";Riba de Escalote, La;11;11;9;9;11;0
"""42158""";Rioseco de Soria;125;124;123;126;123;2
"""42159""";Rollamienta;41;40;40;39;36;5
"""42160""";Royo, El;260;272;265;265;262;-2
"""42161""";Salduero;147;152;143;144;141;6
"""42162""";San Esteban de Gormaz;2948;2956;3005;3010;3021;-73
"""42163""";San Felices;59;53;51;55;58;1
"""42164""";San Leonardo de Yagüe;2042;2054;2044;2047;2083;-41
"""42165""";San Pedro Manrique;655;623;620;617;602;53
"""42166""";Santa Cruz de Yanguas;62;65;61;58;63;-1
"""42167""";Santa María de Huerta;265;260;266;267;285;-20
"""42168""";Santa María de las Hoyas;87;94;97;102;106;-19
"""42171""";Serón de Nágima;130;128;124;138;121;9
"""42172""";Soliedra;31;31;32;32;34;-3
"""42173""";Soria;39695;39821;39398;39112;38881;814
"""42174""";Sotillo del Rincón;178;176;190;180;186;-8
"""42175""";Suellacabras;25;24;25;25;27;-2
"""42176""";Tajahuerce;24;26;27;28;29;-5
"""42177""";Tajueco;60;58;64;66;71;-11
"""42178""";Talveila;107;96;105;118;123;-16
"""42181""";Tardelcuende;420;414;431;430;435;-15
"""42182""";Taroda;46;47;50;43;47;-1
"""42183""";Tejado;92;101;108;106;116;-24
"""42184""";Torlengua;51;56;59;58;59;-8
"""42185""";Torreblacos;26;24;25;25;26;0
"""42187""";Torrubia de Soria;61;64;65;66;68;-7
"""42188""";Trévago;43;45;43;52;48;-5
"""42189""";Ucero;63;50;50;52;53;10
"""42190""";Vadillo;86;89;96;90;97;-11
"""42191""";Valdeavellano de Tera;204;202;191;193;192;12
"""42192""";Valdegeña;38;34;38;42;42;-4
"""42193""";Valdelagua del Cerro;12;14;18;20;19;-7
"""42194""";Valdemaluque;148;147;151;159;164;-16
"""42195""";Valdenebro;96;94;106;109;114;-18
"""42196""";Valdeprado;6;7;8;9;9;-3
"""42197""";Valderrodilla;67;68;68;71;75;-8
"""42198""";Valtajeros;22;18;19;25;25;-3
"""42200""";Velamazán;72;73;76;86;87;-15
"""42201""";Velilla de la Sierra;28;24;24;25;23;5
"""42202""";Velilla de los Ajos;19;19;20;21;21;-2
"""42204""";Viana de Duero;54;54;54;53;53;1
"""42205""";Villaciervos;72;79;87;90;90;-18
"""42206""";Villanueva de Gormaz;8;8;8;8;7;1
"""42207""";Villar del Ala;50;49;51;50;53;-3
"""42208""";Villar del Campo;26;22;22;22;22;4
"""42209""";Villar del Río;154;144;139;145;143;11
"""42211""";Villares de Soria, Los;81;88;88;87;86;-5
"""42212""";Villasayas;66;66;67;70;71;-5
"""42213""";Villaseca de Arciel;24;27;28;34;35;-11
"""42215""";Vinuesa;837;847;855;874;888;-51
"""42216""";Vizmanos;26;29;25;27;29;-3
