Municipio;Nombre;2021;2020;2019;2018;2017;AumentoPoblacion
"""22001""";Abiego;271;258;248;237;246;25
"""22002""";Abizanda;143;139;150;151;156;-13
"""22003""";Adahuesca;190;180;177;172;172;18
"""22004""";Agüero;139;125;129;130;139;0
"""22907""";Aínsa-Sobrarbe;2312;2242;2201;2151;2128;184
"""22006""";Aisa;336;313;320;321;331;5
"""22007""";Albalate de Cinca;1125;1099;1103;1102;1120;5
"""22008""";Albalatillo;188;163;176;181;187;1
"""22009""";Albelda;686;708;698;721;728;-42
"""22011""";Albero Alto;118;120;117;105;114;4
"""22012""";Albero Bajo;137;132;135;141;138;-1
"""22013""";Alberuela de Tubo;306;290;301;309;310;-4
"""22014""";Alcalá de Gurrea;230;239;248;246;267;-37
"""22015""";Alcalá del Obispo;337;298;318;325;332;5
"""22016""";Alcampell;627;623;631;652;671;-44
"""22017""";Alcolea de Cinca;1200;1177;1155;1160;1104;96
"""22018""";Alcubierre;372;362;360;363;377;-5
"""22019""";Alerre;208;200;199;201;200;8
"""22020""";Alfántega;133;130;130;127;135;-2
"""22021""";Almudévar;2412;2377;2379;2394;2444;-32
"""22022""";Almunia de San Juan;689;666;658;654;665;24
"""22023""";Almuniente;454;457;460;471;486;-32
"""22024""";Alquézar;338;312;303;296;304;34
"""22025""";Altorricón;1441;1420;1417;1409;1420;21
"""22027""";Angüés;370;353;354;367;360;10
"""22028""";Ansó;397;386;405;431;411;-14
"""22029""";Antillón;137;135;140;149;154;-17
"""22032""";Aragüés del Puerto;116;111;115;116;114;2
"""22035""";Arén;318;308;313;318;320;-2
"""22036""";Argavieso;114;95;95;96;100;14
"""22037""";Arguis;153;125;127;129;122;31
"""22039""";Ayerbe;1028;1017;1009;1041;1071;-43
"""22040""";Azanuy-Alins;177;170;168;176;173;4
"""22041""";Azara;162;157;171;174;180;-18
"""22042""";Azlor;148;138;143;153;143;5
"""22043""";Baélls;94;97;104;104;103;-9
"""22044""";Bailo;263;261;267;279;284;-21
"""22045""";Baldellou;71;64;76;77;82;-11
"""22046""";Ballobar;849;833;812;823;830;19
"""22047""";Banastás;327;310;295;292;295;32
"""22048""";Barbastro;17146;17174;16979;16944;16907;239
"""22049""";Barbués;91;86;78;77;81;10
"""22050""";Barbuñales;100;96;96;95;94;6
"""22051""";Bárcabo;106;102;103;105;107;-1
"""22052""";Belver de Cinca;1307;1301;1275;1292;1281;26
"""22053""";Benabarre;1162;1142;1124;1107;1110;52
"""22054""";Benasque;2239;2184;2155;2157;2121;118
"""22246""";Beranuy;74;75;82;78;77;-3
"""22055""";Berbegal;308;327;347;345;357;-49
"""22057""";Bielsa;481;448;457;476;473;8
"""22058""";Bierge;254;252;239;231;242;12
"""22059""";Biescas;1550;1474;1463;1479;1480;70
"""22060""";Binaced;1597;1605;1575;1555;1524;73
"""22061""";Binéfar;9888;9742;9561;9435;9391;497
"""22062""";Bisaurri;176;171;167;181;180;-4
"""22063""";Biscarrués;191;182;182;189;192;-1
"""22064""";Blecua y Torres;179;173;182;183;182;-3
"""22066""";Boltaña;1065;1045;1016;986;941;124
"""22067""";Bonansa;90;87;88;86;79;11
"""22068""";Borau;83;70;74;80;81;2
"""22069""";Broto;564;538;522;531;552;12
"""22072""";Caldearenas;222;226;229;218;228;-6
"""22074""";Campo;459;436;278;323;343;116
"""22075""";Camporrélls;123;127;134;137;134;-11
"""22076""";Canal de Berdún;348;323;314;321;343;5
"""22077""";Candasnos;402;419;462;317;315;87
"""22078""";Canfranc;599;558;540;532;542;57
"""22079""";Capdesaso;208;211;198;174;163;45
"""22080""";Capella;350;360;349;354;358;-8
"""22081""";Casbas de Huesca;290;275;270;269;279;11
"""22083""";Castejón de Monegros;497;510;522;531;528;-31
"""22084""";Castejón de Sos;791;764;747;753;738;53
"""22082""";Castejón del Puente;345;312;318;315;326;19
"""22085""";Castelflorite;103;103;106;108;112;-9
"""22086""";Castiello de Jaca;240;221;243;267;244;-4
"""22087""";Castigaleu;80;79;84;86;87;-7
"""22088""";Castillazuelo;164;153;162;169;174;-10
"""22089""";Castillonroy;333;318;313;312;321;12
"""22094""";Chalamera;114;113;106;108;111;3
"""22095""";Chía;83;83;83;86;87;-4
"""22096""";Chimillas;411;402;393;391;389;22
"""22090""";Colungo;118;117;110;114;118;0
"""22099""";Esplús;649;632;581;541;581;68
"""22102""";Estada;204;199;208;204;202;2
"""22103""";Estadilla;803;796;800;794;814;-11
"""22105""";Estopiñán del Castillo;120;121;120;126;132;-12
"""22106""";Fago;21;20;22;23;27;-6
"""22107""";Fanlo;103;100;101;97;102;1
"""22109""";Fiscal;344;331;330;327;323;21
"""22110""";Fonz;845;851;859;870;902;-57
