Municipio;Nombre;2021;2020;2019;2018;2017;AumentoPoblacion
"""39001""";Alfoz de Lloredo;2437;2394;2416;2408;2446;-9
"""39002""";Ampuero;4368;4319;4288;4219;4222;146
"""39003""";Anievas;266;274;267;279;291;-25
"""39004""";Arenas de Iguña;1703;1665;1679;1676;1690;13
"""39005""";Argoños;1834;1788;1748;1723;1713;121
"""39006""";Arnuero;2144;2106;2103;2108;2098;46
"""39007""";Arredondo;470;452;452;470;472;-2
"""39008""";Astillero, El;18116;18134;18111;18108;18120;-4
"""39009""";Bárcena de Cicero;4399;4319;4246;4186;4132;267
"""39010""";Bárcena de Pie de Concha;671;672;678;680;687;-16
"""39011""";Bareyo;2129;1994;1950;1972;1987;142
"""39012""";Cabezón de la Sal;8273;8358;8301;8349;8326;-53
"""39013""";Cabezón de Liébana;580;604;616;592;595;-15
"""39014""";Cabuérniga;985;965;1000;999;1001;-16
"""39015""";Camaleño;956;930;936;946;970;-14
"""39016""";Camargo;30497;30320;30260;30263;30556;-59
"""39027""";Campoo de Enmedio;3692;3696;3714;3750;3757;-65
"""39017""";Campoo de Yuso;680;670;669;668;682;-2
"""39018""";Cartes;5750;5731;5747;5778;5742;8
"""39019""";Castañeda;3029;2968;2914;2809;2744;285
"""39020""";Castro-Urdiales;32975;32270;32069;31977;31817;1158
"""39021""";Cieza;548;534;538;539;536;12
"""39022""";Cillorigo de Liébana;1299;1299;1305;1337;1320;-21
"""39023""";Colindres;8504;8598;8484;8453;8288;216
"""39024""";Comillas;2117;2124;2141;2156;2195;-78
"""39025""";Corrales de Buelna, Los;10703;10767;10841;10910;10912;-209
"""39026""";Corvera de Toranzo;2054;2042;2039;2041;2055;-1
"""39028""";Entrambasaguas;5357;5260;5163;5090;5010;347
"""39029""";Escalante;762;781;779;771;749;13
"""39030""";Guriezo;2410;2330;2354;2347;2358;52
"""39031""";Hazas de Cesto;1644;1580;1569;1541;1550;94
