Municipio;Nombre;2021;2020;2019;2018;2017;AumentoPoblacion
"""27001""";Abadín;2297;2322;2367;2428;2490;-193
"""27002""";Alfoz;1610;1659;1688;1757;1782;-172
"""27003""";Antas de Ulla;1935;1940;1976;2008;2059;-124
"""27004""";Baleira;1190;1226;1241;1268;1296;-106
"""27901""";Baralla;2445;2482;2556;2566;2630;-185
"""27005""";Barreiros;3001;2925;2934;2941;2948;53
"""27006""";Becerreá;2826;2807;2818;2827;2856;-30
"""27007""";Begonte;2976;2978;3026;3037;3071;-95
"""27008""";Bóveda;1407;1450;1481;1503;1527;-120
"""27902""";Burela;9428;9498;9588;9566;9524;-96
"""27009""";Carballedo;2123;2139;2193;2235;2266;-143
"""27010""";Castro de Rei;5110;5073;5052;5011;5013;97
"""27011""";Castroverde;2609;2595;2617;2675;2676;-67
"""27012""";Cervantes;1288;1294;1338;1377;1423;-135
"""27013""";Cervo;4192;4218;4227;4227;4274;-82
"""27016""";Chantada;8134;8157;8192;8324;8371;-237
"""27014""";Corgo, O;3440;3422;3481;3487;3523;-83
"""27015""";Cospeito;4374;4395;4484;4596;4665;-291
"""27017""";Folgoso do Courel;989;1007;1024;1018;1025;-36
"""27018""";Fonsagrada, A;3328;3389;3465;3589;3670;-342
"""27019""";Foz;10078;10016;9980;10002;9931;147
"""27020""";Friol;3682;3664;3744;3772;3842;-160
"""27022""";Guitiriz;5455;5490;5484;5505;5512;-57
"""27023""";Guntín;2638;2628;2690;2718;2780;-142
"""27024""";Incio, O;1521;1533;1570;1609;1667;-146
"""27026""";Láncara;2551;2584;2605;2637;2696;-145
"""27027""";Lourenzá;2129;2139;2140;2181;2224;-95
"""27028""";Lugo;97613;98519;98276;98025;97995;-382
"""27029""";Meira;1731;1748;1725;1711;1726;5
"""27030""";Mondoñedo;3480;3539;3568;3639;3722;-242
"""27031""";Monforte de Lemos;18242;18347;18433;18599;18783;-541
"""27032""";Monterroso;3562;3613;3616;3667;3678;-116
"""27033""";Muras;611;619;642;636;648;-37
"""27034""";Navia de Suarna;1041;1063;1081;1103;1140;-99
"""27035""";Negueira de Muñiz;223;215;215;218;219;4
"""27037""";Nogais, As;1018;1047;1079;1114;1146;-128
"""27038""";Ourol;984;995;1018;1018;1016;-32
"""27039""";Outeiro de Rei;5216;5210;5151;5093;5063;153
"""27040""";Palas de Rei;3316;3326;3388;3414;3489;-173
"""27041""";Pantón;2429;2457;2542;2539;2565;-136
"""27042""";Paradela;1723;1739;1779;1820;1851;-128
"""27043""";Páramo, O;1347;1344;1366;1388;1420;-73
"""27044""";Pastoriza, A;2918;2963;3002;3056;3133;-215
"""27045""";Pedrafita do Cebreiro;943;969;1001;1032;1070;-127
"""27047""";Pobra do Brollón, A;1615;1632;1648;1685;1709;-94
"""27046""";Pol;1634;1623;1609;1616;1663;-29
"""27048""";Pontenova, A;2207;2201;2264;2283;2330;-123
"""27049""";Portomarín;1382;1412;1471;1487;1508;-126
"""27050""";Quiroga;3151;3169;3207;3257;3328;-177
"""27056""";Rábade;1524;1505;1501;1501;1519;5
"""27051""";Ribadeo;9871;9860;9854;9900;9962;-91
"""27052""";Ribas de Sil;946;931;947;970;980;-34
"""27053""";Ribeira de Piquín;513;513;528;543;554;-41
"""27054""";Riotorto;1213;1235;1262;1255;1288;-75
"""27055""";Samos;1222;1246;1278;1293;1343;-121
"""27057""";Sarria;13257;13338;13330;13345;13359;-102
"""27058""";Saviñao, O;3589;3634;3735;3743;3832;-243
"""27059""";Sober;2243;2260;2312;2301;2338;-95
"""27060""";Taboada;2689;2716;2756;2830;2862;-173
"""27061""";Trabada;1114;1127;1118;1121;1117;-3
"""27062""";Triacastela;627;637;641;643;658;-31
"""27063""";Valadouro, O;1960;1978;1991;2004;2002;-42
"""27064""";Vicedo, O;1657;1656;1675;1723;1747;-90
"""27065""";Vilalba;14006;14079;14072;14226;14354;-348
"""27066""";Viveiro;15312;15391;15466;15510;15550;-238
"""27021""";Xermade;1768;1783;1806;1841;1884;-116
"""27025""";Xove;3360;3277;3273;3314;3342;18
