Municipio;Nombre;2021;2020;2019;2018;2017;AumentoPoblacion
"""33001""";Allande;1620;1615;1648;1697;1742;-122
"""33002""";Aller;10346;10413;10613;10808;11027;-681
"""33003""";Amieva;616;628;661;675;699;-83
"""33004""";Avilés;76874;77791;78182;78715;79514;-2640
"""33005""";Belmonte de Miranda;1439;1437;1489;1522;1554;-115
"""33006""";Bimenes;1691;1679;1681;1700;1737;-46
"""33007""";Boal;1452;1482;1505;1571;1586;-134
"""33008""";Cabrales;1942;1941;1960;2002;2008;-66
"""33009""";Cabranes;1111;1057;1034;1035;1058;53
"""33010""";Candamo;1967;1969;1947;1985;2028;-61
"""33012""";Cangas de Onís;6195;6209;6163;6278;6332;-137
"""33011""";Cangas del Narcea;11966;12124;12347;12579;12947;-981
"""33013""";Caravia;507;469;477;477;472;35
"""33014""";Carreño;10288;10301;10337;10444;10545;-257
"""33015""";Caso;1441;1457;1507;1553;1574;-133
"""33016""";Castrillón;22299;22273;22376;22464;22490;-191
"""33017""";Castropol;3335;3342;3402;3470;3510;-175
"""33018""";Coaña;3312;3296;3315;3336;3387;-75
"""33019""";Colunga;3236;3205;3257;3332;3440;-204
"""33020""";Corvera de Asturias;15570;15525;15549;15721;15871;-301
"""33021""";Cudillero;4968;4922;4987;5078;5183;-215
"""33022""";Degaña;852;881;921;949;978;-126
"""33023""";Franco, El;3780;3760;3796;3830;3834;-54
"""33024""";Gijón;268896;271717;271780;271843;272365;-3469
"""33025""";Gozón;10412;10282;10333;10427;10440;-28
"""33026""";Grado;9644;9703;9784;9839;9980;-336
"""33027""";Grandas de Salime;792;815;835;853;874;-82
"""33028""";Ibias;1182;1207;1251;1301;1362;-180
"""33029""";Illano;320;333;346;352;360;-40
"""33030""";Illas;1045;1023;1014;1022;1017;28
"""33031""";Langreo;38683;39183;39420;39984;40529;-1846
"""33032""";Laviana;12754;12882;12977;13087;13236;-482
"""33033""";Lena;10596;10701;10890;11086;11278;-682
"""33035""";Llanera;13790;13695;13702;13676;13794;-4
"""33036""";Llanes;13611;13473;13568;13639;13759;-148
"""33037""";Mieres;37026;37537;37959;38428;38962;-1936
"""33038""";Morcín;2543;2555;2594;2631;2666;-123
"""33039""";Muros de Nalón;1921;1887;1871;1846;1858;63
"""33040""";Nava;5264;5276;5321;5334;5333;-69
"""33041""";Navia;8302;8322;8380;8409;8425;-123
"""33042""";Noreña;5113;5145;5179;5167;5210;-97
"""33043""";Onís;729;734;743;740;743;-14
"""33044""";Oviedo;217552;219910;219686;220020;220301;-2749
"""33045""";Parres;5292;5315;5336;5353;5389;-97
"""33046""";Peñamellera Alta;512;498;514;531;544;-32
"""33047""";Peñamellera Baja;1244;1227;1226;1246;1261;-17
"""33048""";Pesoz;141;148;147;146;156;-15
"""33049""";Piloña;6921;6875;6973;7101;7178;-257
"""33050""";Ponga;574;572;586;598;623;-49
"""33051""";Pravia;7936;7984;8113;8282;8384;-448
"""33052""";Proaza;722;707;744;737;754;-32
"""33053""";Quirós;1207;1187;1158;1194;1212;-5
"""33054""";Regueras, Las;1877;1839;1826;1865;1874;3
"""33055""";Ribadedeva;1724;1741;1756;1758;1753;-29
"""33056""";Ribadesella;5686;5688;5746;5730;5779;-93
"""33057""";Ribera de Arriba;1851;1837;1854;1857;1873;-22
"""33058""";Riosa;1836;1848;1858;1933;1991;-155
"""33059""";Salas;4878;4900;4959;5084;5140;-262
"""33061""";San Martín de Oscos;353;376;377;393;403;-50
"""33060""";San Martín del Rey Aurelio;15665;15817;16074;16283;16584;-919
"""33063""";San Tirso de Abres;419;421;410;433;447;-28
"""33062""";Santa Eulalia de Oscos;434;449;450;453;461;-27
"""33064""";Santo Adriano;277;273;288;288;278;-1
"""33065""";Sariego;1297;1254;1252;1254;1252;45
"""33066""";Siero;51608;51509;51667;51662;51776;-168
"""33067""";Sobrescobio;829;814;811;818;834;-5
"""33068""";Somiedo;1104;1093;1153;1125;1142;-38
"""33069""";Soto del Barco;3850;3800;3866;3887;3924;-74
"""33070""";Tapia de Casariego;3683;3726;3786;3795;3851;-168
"""33071""";Taramundi;592;602;623;646;652;-60
"""33072""";Teverga;1584;1554;1572;1628;1678;-94
"""33073""";Tineo;9096;9199;9389;9543;9700;-604
"""33034""";Valdés;11281;11394;11504;11734;11987;-706
"""33074""";Vegadeo;3914;3926;3926;3866;3894;20
"""33075""";Villanueva de Oscos;275;272;292;298;303;-28
"""33076""";Villaviciosa;14869;14470;14439;14430;14455;414
"""33077""";Villayón;1151;1180;1206;1248;1280;-129
"""33078""";Yernes y Tameza;128;133;132;140;140;-12
