Municipio;Nombre;2021;2020;2019;2018;2017;AumentoPoblacion
"""29001""";Alameda;5453;5387;5372;5366;5384;69
"""29002""";Alcaucín;2366;2279;2230;2239;2253;113
"""29003""";Alfarnate;1057;1065;1069;1105;1113;-56
"""29004""";Alfarnatejo;358;364;377;394;397;-39
"""29005""";Algarrobo;6551;6556;6444;6367;6284;267
"""29006""";Algatocín;825;814;793;778;778;47
"""29007""";Alhaurín de la Torre;41868;41170;40345;39911;39153;2715
"""29008""";Alhaurín el Grande;26095;25358;24705;24123;24720;1375
"""29009""";Almáchar;1843;1817;1811;1802;1814;29
"""29010""";Almargen;1944;1947;1954;1984;2004;-60
"""29011""";Almogía;3859;3792;3715;3770;3765;94
"""29012""";Álora;13336;13112;12985;12951;12924;412
"""29013""";Alozaina;2090;2061;2051;2015;2017;73
"""29014""";Alpandeire;261;263;260;252;244;17
"""29015""";Antequera;41348;41318;41239;41154;41104;244
"""29016""";Árchez;398;385;385;391;405;-7
"""29017""";Archidona;8114;8168;8238;8288;8398;-284
"""29018""";Ardales;2518;2506;2500;2493;2469;49
"""29019""";Arenas;1181;1177;1156;1177;1190;-9
"""29020""";Arriate;4112;4082;4102;4147;4094;18
"""29021""";Atajate;179;169;168;169;167;12
"""29022""";Benadalid;236;233;215;225;223;13
"""29023""";Benahavís;7829;7748;8085;7989;7348;481
"""29024""";Benalauría;436;438;438;443;449;-13
"""29025""";Benalmádena;70204;69144;68128;67746;68859;1345
"""29026""";Benamargosa;1535;1535;1514;1496;1532;3
"""29027""";Benamocarra;3030;3046;3011;2999;2988;42
"""29028""";Benaoján;1470;1453;1476;1488;1497;-27
"""29029""";Benarrabá;438;446;455;458;480;-42
"""29030""";Borge, El;906;922;930;933;940;-34
"""29031""";Burgo, El;1805;1792;1800;1823;1848;-43
"""29032""";Campillos;8301;8387;8444;8517;8547;-246
"""29033""";Canillas de Aceituno;1704;1680;1677;1620;1672;32
"""29034""";Canillas de Albaida;811;759;716;732;741;70
"""29035""";Cañete la Real;1633;1633;1665;1691;1674;-41
"""29036""";Carratraca;719;740;731;748;751;-32
"""29037""";Cartajima;259;242;253;247;244;15
"""29038""";Cártama;27436;26738;26259;25758;25317;2119
"""29039""";Casabermeja;3712;3629;3522;3507;3442;270
"""29040""";Casarabonela;2532;2514;2502;2510;2550;-18
"""29041""";Casares;7342;6883;6515;6121;5743;1599
"""29042""";Coín;23375;22673;22147;21716;21562;1813
"""29043""";Colmenar;3450;3409;3376;3392;3383;67
"""29044""";Comares;1349;1330;1315;1323;1315;34
"""29045""";Cómpeta;3866;3967;3922;3745;3847;19
"""29046""";Cortes de la Frontera;3034;3065;3101;3181;3268;-234
"""29047""";Cuevas Bajas;1355;1370;1395;1392;1416;-61
"""29049""";Cuevas de San Marcos;3614;3601;3648;3671;3722;-108
"""29048""";Cuevas del Becerro;1601;1597;1589;1595;1608;-7
"""29050""";Cútar;602;616;607;614;597;5
"""29051""";Estepona;71925;70228;68286;67012;66863;5062
"""29052""";Faraján;250;261;253;248;248;2
"""29053""";Frigiliana;3198;3062;3009;3086;3066;132
"""29054""";Fuengirola;82585;82837;80309;75396;74929;7656
"""29055""";Fuente de Piedra;2770;2662;2596;2554;2507;263
"""29056""";Gaucín;1595;1589;1576;1573;1588;7
"""29057""";Genalguacil;391;393;410;393;405;-14
"""29058""";Guaro;2326;2280;2260;2182;2087;239
"""29059""";Humilladero;3293;3297;3286;3310;3292;1
"""29060""";Igualeja;740;752;763;762;778;-38
"""29061""";Istán;1520;1494;1469;1458;1432;88
"""29062""";Iznate;912;907;868;863;856;56
"""29063""";Jimera de Líbar;388;379;372;376;396;-8
"""29064""";Jubrique;553;523;528;559;589;-36
"""29065""";Júzcar;235;214;232;225;226;9
"""29066""";Macharaviaya;524;513;480;442;448;76
"""29067""";Málaga;577405;578460;574654;571026;569002;8403
"""29068""";Manilva;16849;16439;15528;14977;14589;2260
"""29069""";Marbella;147958;147633;143386;141463;141172;6786
"""29070""";Mijas;86744;85397;82742;80630;77151;9593
"""29071""";Moclinejo;1244;1251;1271;1230;1204;40
"""29072""";Mollina;5341;5276;5149;5020;4924;417
"""29073""";Monda;2762;2697;2594;2523;2475;287
"""29903""";Montecorto;572;586;593;585;630;-58
"""29074""";Montejaque;938;949;964;970;997;-59
"""29075""";Nerja;21018;21144;21091;21061;21047;-29
"""29076""";Ojén;4023;3816;3702;3568;3517;506
"""29077""";Parauta;251;239;251;253;209;42
"""29079""";Periana;3159;3089;3048;3068;3124;35
"""29080""";Pizarra;9572;9444;9226;9118;9073;499
"""29081""";Pujerra;298;308;301;294;307;-9
"""29082""";Rincón de la Victoria;49790;48768;47179;46093;45138;4652
"""29083""";Riogordo;2734;2723;2724;2701;2715;19
"""29084""";Ronda;33624;33730;33877;33978;34268;-644
"""29085""";Salares;173;173;169;174;175;-2
"""29086""";Sayalonga;1614;1568;1681;1658;1579;35
"""29087""";Sedella;592;576;606;606;634;-42
"""29904""";Serrato;473;482;477;477;494;-21
"""29088""";Sierra de Yeguas;3386;3318;3346;3356;3363;23
"""29089""";Teba;3727;3744;3760;3818;3847;-120
"""29090""";Tolox;2203;2136;2107;2083;2062;141
"""29901""";Torremolinos;68056;69166;68661;68262;67701;355
"""29091""";Torrox;18937;17943;17234;16465;15371;3566
"""29092""";Totalán;725;737;746;715;710;15
"""29093""";Valle de Abdalajís;2483;2502;2542;2568;2577;-94
"""29094""";Vélez-Málaga;82967;82365;81643;80817;79878;3089
"""29095""";Villanueva de Algaidas;4129;4148;4176;4218;4238;-109
"""29902""";Villanueva de la Concepción;3277;3288;3296;3288;3290;-13
"""29098""";Villanueva de Tapia;1437;1460;1476;1490;1523;-86
"""29096""";Villanueva del Rosario;3374;3362;3356;3373;3383;-9
"""29097""";Villanueva del Trabuco;5360;5308;5299;5300;5327;33
"""29099""";Viñuela;2045;2055;2034;2020;2045;0
"""29100""";Yunquera;2866;2869;2864;2880;2926;-60
