Municipio;Nombre;2021;2020;2019;2018;2017;AumentoPoblacion
"""45001""";Ajofrín;2236;2259;2264;2244;2245;-9
"""45002""";Alameda de la Sagra;3757;3734;3623;3562;3534;223
"""45003""";Albarreal de Tajo;708;679;683;692;702;6
"""45004""";Alcabón;678;664;686;669;685;-7
"""45005""";Alcañizo;274;274;274;275;286;-12
"""45006""";Alcaudete de la Jara;1644;1660;1648;1703;1748;-104
"""45007""";Alcolea de Tajo;843;807;810;797;820;23
"""45008""";Aldea en Cabo;179;168;163;162;165;14
"""45009""";Aldeanueva de Barbarroya;495;501;520;542;561;-66
"""45010""";Aldeanueva de San Bartolomé;413;414;427;434;452;-39
"""45011""";Almendral de la Cañada;327;323;313;305;316;11
"""45012""";Almonacid de Toledo;843;810;790;783;814;29
"""45013""";Almorox;2318;2170;2105;2159;2215;103
"""45014""";Añover de Tajo;5202;5176;5154;5032;5148;54
"""45015""";Arcicóllar;964;908;883;829;780;184
"""45016""";Argés;6621;6563;6418;6341;6163;458
"""45017""";Azután;303;290;288;289;289;14
"""45018""";Barcience;940;883;872;856;806;134
"""45019""";Bargas;10611;10535;10332;10092;10030;581
"""45020""";Belvís de la Jara;1543;1535;1522;1529;1567;-24
"""45021""";Borox;3981;3958;3825;3706;3626;355
"""45022""";Buenaventura;419;423;424;430;423;-4
"""45023""";Burguillos de Toledo;3390;3288;3172;3184;3173;217
"""45024""";Burujón;1316;1307;1319;1308;1324;-8
"""45025""";Cabañas de la Sagra;1955;1857;1799;1789;1777;178
"""45026""";Cabañas de Yepes;301;260;257;240;237;64
"""45027""";Cabezamesada;330;343;346;347;360;-30
"""45028""";Calera y Chozas;4641;4608;4646;4640;4631;10
"""45029""";Caleruela;214;209;208;210;223;-9
"""45030""";Calzada de Oropesa;513;523;529;539;534;-21
"""45031""";Camarena;4243;4082;3960;3745;3734;509
"""45032""";Camarenilla;588;577;565;556;556;32
"""45033""";Campillo de la Jara, El;356;342;344;364;373;-17
"""45034""";Camuñas;1726;1752;1726;1740;1779;-53
"""45035""";Cardiel de los Montes;380;352;355;342;348;32
"""45036""";Carmena;780;768;743;731;743;37
"""45037""";Carpio de Tajo, El;1817;1816;1838;1872;1930;-113
"""45038""";Carranque;5022;4953;4846;4761;4681;341
"""45039""";Carriches;278;260;262;271;266;12
"""45040""";Casar de Escalona, El;1791;1718;1725;1743;1841;-50
"""45041""";Casarrubios del Monte;6177;5995;5681;5422;5335;842
"""45042""";Casasbuenas;182;187;201;208;201;-19
"""45043""";Castillo de Bayuela;918;920;938;917;894;24
"""45045""";Cazalegas;1854;1813;1750;1725;1743;111
"""45046""";Cebolla;3204;3209;3235;3263;3344;-140
"""45047""";Cedillo del Condado;4025;3826;3762;3687;3727;298
"""45048""";Cerralbos, Los;418;414;421;418;414;4
"""45049""";Cervera de los Montes;504;499;517;509;520;-16
"""45056""";Chozas de Canales;4335;4104;3966;3765;3760;575
"""45057""";Chueca;253;251;257;261;265;-12
"""45050""";Ciruelos;616;569;551;532;544;72
"""45051""";Cobeja;2412;2366;2255;2206;2192;220
"""45052""";Cobisa;4377;4306;4310;4269;4221;156
"""45053""";Consuegra;9942;9970;9998;10098;10146;-204
"""45054""";Corral de Almaguer;5068;5246;5352;5355;5443;-375
"""45055""";Cuerva;1277;1299;1291;1335;1361;-84
"""45058""";Domingo Pérez;325;345;372;404;417;-92
"""45059""";Dosbarrios;2263;2260;2223;2201;2230;33
"""45060""";Erustes;191;189;193;207;211;-20
"""45061""";Escalona;3441;3276;3241;3199;3240;201
"""45062""";Escalonilla;1397;1420;1427;1437;1447;-50
"""45063""";Espinoso del Rey;435;425;436;439;466;-31
"""45064""";Esquivias;5747;5628;5549;5449;5378;369
"""45065""";Estrella, La;205;215;225;233;241;-36
"""45066""";Fuensalida;11785;11655;11370;11032;10976;809
"""45067""";Gálvez;3015;3012;3016;3016;3075;-60
"""45068""";Garciotum;206;202;206;187;190;16
