Municipio;Nombre;2021;2020;2019;2018;2017;AumentoPoblacion
"""17001""";Agullana;885;863;831;841;831;54
"""17002""";Aiguaviva;789;765;756;767;779;10
"""17003""";Albanyà;178;155;157;139;141;37
"""17004""";Albons;798;759;776;765;769;29
"""17006""";Alp;1645;1593;1580;1559;1499;146
"""17007""";Amer;2383;2332;2298;2256;2242;141
"""17008""";Anglès;5709;5654;5599;5519;5479;230
"""17009""";Arbúcies;6507;6608;6556;6515;6427;80
"""17010""";Argelaguer;417;396;397;423;423;-6
"""17011""";Armentera, L';998;951;930;937;949;49
"""17012""";Avinyonet de Puigventós;1657;1641;1610;1604;1565;92
"""17015""";Banyoles;20168;20053;19826;19615;19397;771
"""17016""";Bàscara;1015;1001;1004;1000;989;26
"""17013""";Begur;4039;3891;3925;3934;3933;106
"""17018""";Bellcaire d'Empordà;699;678;693;671;668;31
"""17019""";Besalú;2502;2487;2492;2467;2443;59
"""17020""";Bescanó;5094;4991;4960;4941;4929;165
"""17021""";Beuda;187;186;190;187;181;6
"""17022""";Bisbal d'Empordà, La;11190;11159;10974;10859;10775;415
"""17234""";Biure;244;241;232;238;230;14
"""17023""";Blanes;40274;39914;39028;38790;38813;1461
"""17029""";Boadella i les Escaules;271;272;252;269;267;4
"""17024""";Bolvir;489;375;369;383;380;109
"""17025""";Bordils;1796;1761;1779;1701;1693;103
"""17026""";Borrassà;752;733;714;702;715;37
"""17027""";Breda;3836;3762;3740;3733;3740;96
"""17028""";Brunyola i Sant Martí Sapresa;390;389;383;369;369;21
"""17031""";Cabanelles;266;267;279;273;265;1
"""17030""";Cabanes;941;968;948;944;903;38
"""17032""";Cadaqués;2820;2695;2712;2752;2794;26
"""17033""";Caldes de Malavella;8051;7872;7641;7458;7351;700
"""17034""";Calonge i Sant Antoni;11484;11331;11092;10897;10804;680
"""17035""";Camós;711;677;693;690;687;24
"""17036""";Campdevànol;3225;3232;3223;3204;3243;-18
"""17037""";Campelles;149;140;139;133;135;14
"""17038""";Campllong;533;537;547;535;525;8
"""17039""";Camprodon;2435;2298;2281;2261;2214;221
"""17040""";Canet d'Adri;749;729;723;708;703;46
"""17041""";Cantallops;305;309;313;313;322;-17
"""17042""";Capmany;618;611;613;613;623;-5
"""17044""";Cassà de la Selva;10505;10410;10380;10359;10231;274
"""17046""";Castellfollit de la Roca;939;947;961;956;951;-12
"""17047""";Castelló d'Empúries;11154;11100;10906;10820;10791;363
"""17048""";Castell-Platja d'Aro;11455;11030;10860;10585;10593;862
"""17189""";Cellera de Ter, La;1973;1950;1946;1976;2006;-33
"""17049""";Celrà;5606;5561;5452;5390;5376;230
"""17050""";Cervià de Ter;973;966;968;948;923;50
"""17051""";Cistella;282;282;282;300;304;-22
"""17054""";Colera;462;445;448;465;481;-19
"""17055""";Colomers;188;174;176;176;179;9
"""17057""";Corçà;1275;1268;1267;1253;1245;30
"""17056""";Cornellà del Terri;2422;2399;2364;2322;2280;142
"""17058""";Crespià;270;254;246;251;259;11
"""17901""";Cruïlles, Monells i Sant Sadurní de l'Heura;1327;1270;1279;1274;1296;31
"""17060""";Darnius;540;537;546;557;564;-24
"""17061""";Das;248;234;253;227;223;25
"""17062""";Escala, L';10497;10244;10339;10417;10407;90
"""17063""";Espinelves;239;221;215;206;203;36
"""17064""";Espolla;412;412;416;425;423;-11
"""17065""";Esponellà;469;463;438;433;432;37
"""17005""";Far d'Empordà, El;619;602;599;576;568;51
"""17066""";Figueres;47043;47235;46654;46381;45961;1082
"""17067""";Flaçà;1147;1130;1093;1081;1050;97
"""17068""";Foixà;299;303;297;305;313;-14
"""17069""";Fontanals de Cerdanya;506;437;444;455;448;58
"""17070""";Fontanilles;157;146;139;138;138;19
"""17071""";Fontcoberta;1468;1469;1468;1474;1481;-13
"""17902""";Forallac;1708;1695;1687;1713;1708;0
"""17073""";Fornells de la Selva;2700;2670;2650;2649;2613;87
"""17074""";Fortià;793;787;763;732;726;67
"""17075""";Garrigàs;464;451;437;439;436;28
"""17076""";Garrigoles;170;167;162;175;172;-2
"""17077""";Garriguella;909;853;855;840;851;58
"""17078""";Ger;502;449;448;429;423;79
"""17079""";Girona;101932;103369;101852;100266;99013;2919
"""17080""";Gombrèn;196;192;188;186;185;11
"""17081""";Gualta;421;402;397;392;392;29
"""17082""";Guils de Cerdanya;588;549;537;529;525;63
"""17083""";Hostalric;4332;4291;4221;4139;4106;226
"""17084""";Isòvol;314;281;281;278;270;44
"""17085""";Jafre;382;387;380;390;393;-11
"""17086""";Jonquera, La;3340;3320;3290;3233;3157;183
"""17087""";Juià;327;319;323;335;334;-7
"""17088""";Lladó;845;844;818;787;773;72
"""17089""";Llagostera;8851;8647;8453;8297;8229;622
"""17090""";Llambilles;730;713;696;693;716;14
"""17091""";Llanars;535;535;505;514;507;28
"""17092""";Llançà;4842;4775;4836;4868;4796;46
"""17093""";Llers;1252;1237;1239;1239;1211;41
"""17094""";Llívia;1504;1431;1417;1428;1415;89
"""17095""";Lloret de Mar;38402;39089;38373;37350;36878;1524
"""17096""";Llosses, Les;209;212;218;219;210;-1
"""17102""";Maçanet de Cabrenys;729;698;688;681;706;23
"""17103""";Maçanet de la Selva;7349;7066;7006;6919;6822;527
"""17097""";Madremanya;296;288;283;282;284;12
"""17098""";Maià de Montcal;469;463;449;413;409;60
"""17100""";Masarac;284;288;288;272;279;5
"""17101""";Massanes;803;796;761;730;721;82
