Municipio;Nombre;2021;2020;2019;2018;2017;AumentoPoblacion
"""30001""";Abanilla;6116;6097;6127;6063;6158;-42
"""30002""";Abarán;13066;13022;12964;13030;13089;-23
"""30003""";Águilas;35956;35722;35301;35031;34758;1198
"""30004""";Albudeite;1388;1375;1373;1361;1359;29
"""30005""";Alcantarilla;42559;42345;42048;41622;41331;1228
"""30902""";Alcázares, Los;16935;16590;16138;15674;15349;1586
"""30006""";Aledo;1083;1031;1022;1022;945;138
"""30007""";Alguazas;9842;9761;9638;9525;9557;285
"""30008""";Alhama de Murcia;22240;22160;22077;21657;21448;792
"""30009""";Archena;19500;19428;19301;19053;18771;729
"""30010""";Beniel;11508;11465;11318;11274;11233;275
"""30011""";Blanca;6608;6569;6539;6564;6521;87
"""30012""";Bullas;11619;11553;11530;11547;11546;73
"""30013""";Calasparra;10133;10133;10178;10165;10214;-81
"""30014""";Campos del Río;2061;2032;2028;2045;2022;39
"""30015""";Caravaca de la Cruz;25611;25688;25760;25730;25633;-22
"""30016""";Cartagena;216365;216108;214802;213943;214177;2188
"""30017""";Cehegín;14798;14769;14983;15022;15193;-395
"""30018""";Ceutí;12199;12007;11787;11565;11472;727
"""30019""";Cieza;35301;35283;34988;34889;34987;314
"""30020""";Fortuna;10512;10289;10112;10060;10049;463
"""30021""";Fuente Álamo de Murcia;17225;16787;16583;16184;16180;1045
"""30022""";Jumilla;26234;25994;25600;25547;25672;562
"""30023""";Librilla;5351;5325;5305;5196;5160;191
"""30024""";Lorca;96238;95515;94404;93079;92299;3939
"""30025""";Lorquí;7320;7246;7141;7002;7039;281
"""30026""";Mazarrón;32988;32839;32209;31562;30996;1992
"""30027""";Molina de Segura;73498;73095;71890;70964;70344;3154
"""30028""";Moratalla;7797;7804;7839;7954;8048;-251
"""30029""";Mula;17074;17021;16883;16790;16713;361
"""30030""";Murcia;460349;459403;453258;447182;443243;17106
"""30031""";Ojós;495;510;500;500;494;1
"""30032""";Pliego;3868;3843;3847;3842;3873;-5
"""30033""";Puerto Lumbreras;16060;15780;15394;14981;15020;1040
"""30034""";Ricote;1265;1253;1264;1301;1315;-50
"""30035""";San Javier;33645;33129;32489;31905;31695;1950
"""30036""";San Pedro del Pinatar;26320;25932;25476;25167;24903;1417
"""30901""";Santomera;16154;16270;16206;16105;16058;96
"""30037""";Torre-Pacheco;37299;36464;35676;35614;35198;2101
"""30038""";Torres de Cotillas, Las;21837;21753;21471;21375;21420;417
"""30039""";Totana;32316;32529;32008;31639;31394;922
"""30040""";Ulea;866;849;874;879;891;-25
"""30041""";Unión, La;20536;20538;20225;19907;19764;772
"""30042""";Villanueva del Río Segura;3268;3111;2910;2758;2650;618
"""30043""";Yecla;35083;34834;34432;34234;34092;991
