Municipio;Nombre;2021;2020;2019;2018;2017;AumentoPoblacion
"""23001""";Albanchez de Mágina;992;1011;1024;1027;1060;-68
"""23002""";Alcalá la Real;21623;21709;21605;21708;21758;-135
"""23003""";Alcaudete;10434;10483;10498;10558;10634;-200
"""23004""";Aldeaquemada;487;476;481;501;503;-16
"""23005""";Andújar;36212;36615;36793;37113;37611;-1399
"""23006""";Arjona;5450;5515;5542;5595;5662;-212
"""23007""";Arjonilla;3545;3571;3575;3610;3654;-109
"""23008""";Arquillos;1708;1722;1734;1767;1797;-89
"""23905""";Arroyo del Ojanco;2243;2287;2288;2323;2353;-110
"""23009""";Baeza;15762;15791;15841;15902;15996;-234
"""23010""";Bailén;17498;17548;17667;17820;17924;-426
"""23011""";Baños de la Encina;2596;2576;2582;2611;2613;-17
"""23012""";Beas de Segura;5115;5100;5130;5191;5275;-160
"""23902""";Bedmar y Garcíez;2656;2633;2642;2682;2757;-101
"""23014""";Begíjar;2998;3009;3029;3075;3073;-75
"""23015""";Bélmez de la Moraleda;1542;1569;1567;1567;1600;-58
"""23016""";Benatae;443;445;448;457;467;-24
"""23017""";Cabra del Santo Cristo;1786;1782;1779;1840;1877;-91
"""23018""";Cambil;2662;2683;2703;2739;2772;-110
"""23019""";Campillo de Arenas;1743;1751;1760;1784;1854;-111
"""23020""";Canena;1822;1814;1831;1882;1927;-105
"""23021""";Carboneros;608;591;615;606;625;-17
"""23901""";Cárcheles;1320;1332;1363;1373;1375;-55
"""23024""";Carolina, La;15048;15160;15261;15306;15508;-460
"""23025""";Castellar;3267;3292;3314;3364;3389;-122
"""23026""";Castillo de Locubín;4019;4049;4058;4120;4165;-146
"""23027""";Cazalilla;775;803;824;829;844;-69
"""23028""";Cazorla;7248;7352;7441;7574;7613;-365
"""23029""";Chiclana de Segura;917;955;965;962;988;-71
"""23030""";Chilluévar;1392;1410;1434;1459;1483;-91
"""23031""";Escañuela;940;944;950;949;952;-12
"""23032""";Espeluy;609;620;619;643;666;-57
"""23033""";Frailes;1599;1585;1575;1592;1610;-11
"""23034""";Fuensanta de Martos;3011;3038;3074;3086;3071;-60
"""23035""";Fuerte del Rey;1313;1355;1357;1387;1384;-71
"""23037""";Génave;593;590;611;614;614;-21
"""23038""";Guardia de Jaén, La;5082;4983;5011;4965;4931;151
"""23039""";Guarromán;2714;2739;2724;2779;2821;-107
"""23041""";Higuera de Calatrava;601;614;619;616;622;-21
"""23042""";Hinojares;356;373;401;335;334;22
"""23043""";Hornos;601;594;601;620;631;-30
"""23044""";Huelma;5682;5744;5776;5845;5932;-250
"""23045""";Huesa;2475;2490;2489;2527;2541;-66
"""23046""";Ibros;2808;2827;2832;2884;2925;-117
"""23047""";Iruela, La;1892;1879;1899;1935;1958;-66
"""23048""";Iznatoraf;907;942;960;995;1000;-93
"""23049""";Jabalquinto;2013;2017;2039;2070;2114;-101
"""23050""";Jaén;111932;112757;112999;113457;114238;-2306
"""23051""";Jamilena;3302;3271;3293;3327;3343;-41
"""23052""";Jimena;1249;1269;1284;1286;1293;-44
"""23053""";Jódar;11583;11634;11667;11805;11901;-318
"""23040""";Lahiguera;1652;1686;1710;1742;1759;-107
"""23054""";Larva;467;474;472;482;486;-19
"""23055""";Linares;56525;57353;57414;57811;58449;-1924
"""23056""";Lopera;3640;3652;3665;3673;3714;-74
"""23057""";Lupión;830;820;842;852;881;-51
"""23058""";Mancha Real;11315;11328;11264;11322;11265;50
"""23059""";Marmolejo;6726;6763;6812;6877;6968;-242
"""23060""";Martos;24271;24343;24215;24207;24207;64
"""23061""";Mengíbar;9973;9997;9941;9927;9916;57
"""23062""";Montizón;1635;1689;1725;1716;1745;-110
"""23063""";Navas de San Juan;4473;4528;4517;4555;4506;-33
"""23064""";Noalejo;1884;1932;1970;1948;1963;-79
"""23065""";Orcera;1761;1791;1811;1835;1860;-99
"""23066""";Peal de Becerro;5325;5240;5266;5277;5290;35
"""23067""";Pegalajar;2859;2875;2919;2916;2945;-86
"""23069""";Porcuna;6115;6156;6235;6283;6403;-288
"""23070""";Pozo Alcón;4706;4731;4673;4708;4758;-52
"""23071""";Puente de Génave;2166;2159;2159;2179;2218;-52
"""23072""";Puerta de Segura, La;2250;2234;2268;2339;2396;-146
"""23073""";Quesada;5161;5196;5209;5303;5400;-239
"""23074""";Rus;3516;3531;3547;3580;3630;-114
"""23075""";Sabiote;3867;3886;3918;3958;4012;-145
"""23076""";Santa Elena;887;890;888;913;930;-43
"""23077""";Santiago de Calatrava;670;675;699;697;709;-39
"""23904""";Santiago-Pontones;2832;2911;2956;3060;3108;-276
"""23079""";Santisteban del Puerto;4472;4463;4472;4520;4566;-94
"""23080""";Santo Tomé;2118;2129;2139;2154;2208;-90
"""23081""";Segura de la Sierra;1771;1803;1790;1782;1807;-36
"""23082""";Siles;2209;2220;2241;2262;2305;-96
"""23084""";Sorihuela del Guadalimar;1075;1098;1100;1124;1157;-82
"""23085""";Torreblascopedro;2422;2508;2546;2564;2594;-172
"""23086""";Torredelcampo;14059;14142;14247;14335;14435;-376
"""23087""";Torredonjimeno;13545;13632;13696;13731;13780;-235
"""23088""";Torreperogil;7194;7222;7276;7286;7391;-197
"""23090""";Torres;1350;1372;1406;1434;1475;-125
"""23091""";Torres de Albánchez;760;770;787;804;826;-66
"""23092""";Úbeda;34208;34329;34345;34602;34733;-525
"""23093""";Valdepeñas de Jaén;3649;3679;3714;3799;3852;-203
"""23094""";Vilches;4376;4409;4436;4519;4567;-191
"""23095""";Villacarrillo;10545;10673;10726;10795;10857;-312
"""23096""";Villanueva de la Reina;3026;3038;3081;3146;3151;-125
"""23097""";Villanueva del Arzobispo;7967;8078;8193;8301;8402;-435
"""23098""";Villardompardo;956;968;965;966;1001;-45
"""23099""";Villares, Los;6106;6020;6014;5980;6007;99
"""23101""";Villarrodrigo;392;391;405;416;425;-33
"""23903""";Villatorres;4311;4298;4316;4357;4389;-78
