Municipio;Nombre;2021;2020;2019;2018;2017;AumentoPoblacion
"""28001""";Acebeda, La;55;68;84;65;66;-11
"""28002""";Ajalvir;4676;4721;4712;4559;4455;221
"""28003""";Alameda del Valle;246;204;200;195;199;47
"""28004""";Álamo, El;9908;9862;9470;9353;9149;759
"""28005""";Alcalá de Henares;195982;197562;195649;193751;194310;1672
"""28006""";Alcobendas;116589;118417;117040;116037;114864;1725
"""28007""";Alcorcón;170817;172384;170514;169502;168141;2676
"""28008""";Aldea del Fresno;3085;2973;2838;2698;2616;469
"""28009""";Algete;20749;20864;20611;20473;20419;330
"""28010""";Alpedrete;14959;14839;14575;14364;14240;719
"""28011""";Ambite;662;609;592;601;677;-15
"""28012""";Anchuelo;1359;1286;1271;1272;1238;121
"""28013""";Aranjuez;59833;60332;59607;59037;58213;1620
"""28014""";Arganda del Rey;56386;56678;55389;54554;53821;2565
"""28015""";Arroyomolinos;33687;32935;31396;30052;29128;4559
"""28016""";Atazar, El;109;90;89;93;97;12
"""28017""";Batres;1820;1750;1684;1638;1610;210
"""28018""";Becerril de la Sierra;6108;5875;5714;5564;5457;651
"""28019""";Belmonte de Tajo;1751;1683;1664;1627;1628;123
"""28021""";Berrueco, El;796;777;760;741;743;53
"""28020""";Berzosa del Lozoya;216;222;205;198;203;13
"""28022""";Boadilla del Monte;59052;56734;54570;52626;51463;7589
"""28023""";Boalo, El;8009;7663;7508;7399;7358;651
"""28024""";Braojos;218;206;205;205;208;10
"""28025""";Brea de Tajo;523;506;524;525;539;-16
"""28026""";Brunete;10726;10760;10736;10596;10373;353
"""28027""";Buitrago del Lozoya;1940;1959;1884;1875;1854;86
"""28028""";Bustarviejo;2701;2522;2503;2486;2399;302
"""28029""";Cabanillas de la Sierra;837;785;756;712;712;125
"""28030""";Cabrera, La;2782;2736;2667;2613;2570;212
"""28031""";Cadalso de los Vidrios;3203;3047;3039;3049;3053;150
"""28032""";Camarma de Esteruelas;7555;7437;7336;7226;7084;471
"""28033""";Campo Real;6416;6420;6210;6075;5995;421
"""28034""";Canencia;461;447;447;423;448;13
"""28035""";Carabaña;2142;2081;2010;1905;1940;202
"""28036""";Casarrubuelos;3939;3845;3778;3707;3650;289
"""28037""";Cenicientos;2083;2038;2033;1980;1984;99
"""28038""";Cercedilla;7359;7205;7026;6948;6853;506
"""28039""";Cervera de Buitrago;158;162;150;149;156;2
"""28051""";Chapinería;2494;2414;2328;2240;2225;269
"""28052""";Chinchón;5506;5413;5331;5239;5240;266
"""28040""";Ciempozuelos;25083;25104;24592;24087;23737;1346
"""28041""";Cobeña;7444;7486;7428;7280;7163;281
"""28046""";Collado Mediano;7348;7105;6958;6781;6666;682
"""28047""";Collado Villalba;63825;64378;63679;63074;62152;1673
"""28043""";Colmenar de Oreja;8303;8154;8032;7902;7810;493
"""28042""";Colmenar del Arroyo;1875;1785;1725;1685;1632;243
"""28045""";Colmenar Viejo;52480;51938;50752;49498;48614;3866
"""28044""";Colmenarejo;9376;9230;9130;9124;9015;361
"""28048""";Corpa;742;723;713;697;684;58
"""28049""";Coslada;81273;81391;81661;81860;83011;-1738
"""28050""";Cubas de la Sagra;6642;6539;6413;6310;6112;530
"""28053""";Daganzo de Arriba;10520;10337;10205;10061;10082;438
"""28054""";Escorial, El;16594;16365;16162;15842;15562;1032
"""28055""";Estremera;1381;1334;1260;1236;1261;120
"""28056""";Fresnedillas de la Oliva;1742;1651;1572;1554;1550;192
"""28057""";Fresno de Torote;2416;2299;2221;2181;2115;301
"""28058""";Fuenlabrada;192233;194514;193700;193586;194669;-2436
