Municipio;Nombre;2021;2020;2019;2018;2017;AumentoPoblacion
"""49002""";Abezames;58;59;61;60;63;-5
"""49003""";Alcañices;1042;1065;1076;1074;1076;-34
"""49004""";Alcubilla de Nogales;117;115;117;123;131;-14
"""49005""";Alfaraz de Sayago;137;125;129;130;136;1
"""49006""";Algodre;135;141;148;145;153;-18
"""49007""";Almaraz de Duero;407;401;407;402;408;-1
"""49008""";Almeida de Sayago;423;437;452;462;479;-56
"""49009""";Andavías;449;452;444;438;440;9
"""49010""";Arcenillas;429;428;420;405;413;16
"""49011""";Arcos de la Polvorosa;218;217;221;229;236;-18
"""49012""";Argañín;72;73;80;76;79;-7
"""49013""";Argujillo;224;230;242;247;256;-32
"""49014""";Arquillinos;120;119;117;116;119;1
"""49015""";Arrabalde;218;212;216;232;239;-21
"""49016""";Aspariegos;234;245;247;260;262;-28
"""49017""";Asturianos;260;260;271;261;257;3
"""49018""";Ayoó de Vidriales;287;289;308;317;339;-52
"""49019""";Barcial del Barco;241;247;249;258;261;-20
"""49020""";Belver de los Montes;263;265;275;281;291;-28
"""49021""";Benavente;17523;17787;17935;18095;18237;-714
"""49022""";Benegiles;302;304;305;325;327;-25
"""49023""";Bermillo de Sayago;1008;1007;1015;1037;1057;-49
"""49024""";Bóveda de Toro, La;692;699;709;736;748;-56
"""49025""";Bretó;160;160;166;184;182;-22
"""49026""";Bretocino;207;208;213;228;232;-25
"""49027""";Brime de Sog;128;130;130;134;144;-16
"""49028""";Brime de Urz;98;106;104;108;119;-21
"""49029""";Burganes de Valverde;639;654;663;656;675;-36
"""49030""";Bustillo del Oro;81;80;84;85;91;-10
"""49031""";Cabañas de Sayago;152;151;151;160;157;-5
"""49032""";Calzadilla de Tera;289;299;300;305;331;-42
"""49033""";Camarzana de Tera;767;755;776;813;839;-72
"""49034""";Cañizal;428;445;456;455;460;-32
"""49035""";Cañizo;220;228;233;236;245;-25
"""49036""";Carbajales de Alba;491;506;525;556;558;-67
"""49037""";Carbellino;175;179;189;202;200;-25
"""49038""";Casaseca de Campeán;103;95;99;104;101;2
"""49039""";Casaseca de las Chanas;373;381;390;390;385;-12
"""49040""";Castrillo de la Guareña;116;117;125;121;123;-7
"""49041""";Castrogonzalo;456;465;471;478;480;-24
"""49042""";Castronuevo;220;225;228;232;233;-13
"""49043""";Castroverde de Campos;270;272;287;303;318;-48
"""49044""";Cazurra;73;76;79;87;82;-9
"""49046""";Cerecinos de Campos;247;257;259;275;289;-42
"""49047""";Cerecinos del Carrizal;112;111;112;121;139;-27
"""49048""";Cernadilla;113;119;114;116;124;-11
"""49050""";Cobreros;552;568;579;576;578;-26
"""49052""";Coomonte;198;198;187;194;198;0
"""49053""";Coreses;1059;1044;1047;1057;1061;-2
"""49054""";Corrales del Vino;934;959;961;982;1002;-68
"""49055""";Cotanes del Monte;96;98;103;106;107;-11
"""49056""";Cubillos;304;300;313;310;316;-12
"""49057""";Cubo de Benavente;120;116;114;115;119;1
"""49058""";Cubo de Tierra del Vino, El;314;322;320;320;335;-21
"""49059""";Cuelgamures;83;81;85;86;92;-9
