Municipio;Nombre;2021;2020;2019;2018;2017;AumentoPoblacion
"""34001""";Abarca de Campos;45;45;44;42;43;2
"""34003""";Abia de las Torres;167;170;165;164;174;-7
"""34004""";Aguilar de Campoo;6711;6749;6744;6842;6916;-205
"""34005""";Alar del Rey;908;921;934;928;944;-36
"""34006""";Alba de Cerrato;83;87;87;86;87;-4
"""34009""";Amayuelas de Arriba;36;36;35;35;36;0
"""34010""";Ampudia;600;606;605;622;621;-21
"""34011""";Amusco;414;418;423;423;431;-17
"""34012""";Antigüedad;362;365;363;369;368;-6
"""34015""";Arconada;43;40;41;42;43;0
"""34017""";Astudillo;1021;1006;995;1004;1012;9
"""34018""";Autilla del Pino;217;215;222;221;235;-18
"""34019""";Autillo de Campos;132;134;128;131;136;-4
"""34020""";Ayuela;54;50;52;52;53;1
"""34022""";Baltanás;1219;1206;1191;1216;1234;-15
"""34024""";Baquerín de Campos;26;28;30;28;33;-7
"""34025""";Bárcena de Campos;52;57;59;53;62;-10
"""34027""";Barruelo de Santullán;1187;1174;1186;1183;1203;-16
"""34028""";Báscones de Ojeda;138;137;143;144;149;-11
"""34029""";Becerril de Campos;762;742;727;754;769;-7
"""34031""";Belmonte de Campos;26;29;30;33;32;-6
"""34032""";Berzosilla;39;42;40;41;44;-5
"""34033""";Boada de Campos;18;17;17;17;17;1
"""34035""";Boadilla de Rioseco;114;113;107;111;117;-3
"""34034""";Boadilla del Camino;121;121;121;115;117;4
"""34036""";Brañosera;255;258;271;246;250;5
"""34037""";Buenavista de Valdavia;308;304;245;264;275;33
"""34038""";Bustillo de la Vega;278;285;293;306;310;-32
"""34039""";Bustillo del Páramo de Carrión;60;62;60;61;62;-2
"""34041""";Calahorra de Boedo;85;87;90;92;94;-9
"""34042""";Calzada de los Molinos;317;324;330;326;338;-21
"""34045""";Capillas;72;73;75;77;77;-5
"""34046""";Cardeñosa de Volpejera;56;53;50;43;43;13
"""34047""";Carrión de los Condes;2011;2035;2069;2096;2118;-107
"""34048""";Castil de Vela;58;63;64;63;64;-6
"""34049""";Castrejón de la Peña;346;344;345;360;371;-25
"""34050""";Castrillo de Don Juan;196;195;207;220;230;-34
"""34051""";Castrillo de Onielo;104;98;98;101;102;2
"""34052""";Castrillo de Villavega;173;175;174;183;187;-14
"""34053""";Castromocho;212;222;225;230;222;-10
"""34055""";Cervatos de la Cueza;269;265;280;262;278;-9
"""34056""";Cervera de Pisuerga;2288;2277;2333;2316;2359;-71
"""34057""";Cevico de la Torre;479;490;491;490;490;-11
"""34058""";Cevico Navero;186;185;194;198;211;-25
"""34059""";Cisneros;429;431;435;448;445;-16
"""34060""";Cobos de Cerrato;131;138;143;139;142;-11
"""34061""";Collazos de Boedo;104;99;102;105;107;-3
"""34062""";Congosto de Valdavia;150;151;153;165;173;-23
"""34063""";Cordovilla la Real;98;103;109;93;94;4
"""34066""";Cubillas de Cerrato;63;60;61;63;69;-6
"""34067""";Dehesa de Montejo;127;127;133;136;138;-11
"""34068""";Dehesa de Romanos;56;61;50;42;41;15
"""34069""";Dueñas;2592;2624;2612;2633;2658;-66
"""34070""";Espinosa de Cerrato;134;134;144;149;158;-24
"""34071""";Espinosa de Villagonzalo;165;168;172;179;186;-21
"""34072""";Frechilla;148;152;147;153;159;-11
"""34073""";Fresno del Río;186;186;189;194;200;-14
"""34074""";Frómista;777;784;767;770;790;-13
"""34076""";Fuentes de Nava;625;636;637;659;673;-48
"""34077""";Fuentes de Valdepero;497;466;451;429;425;72
"""34079""";Grijota;2496;2362;2319;2269;2212;284
"""34080""";Guardo;5786;5872;5995;6153;6279;-493
"""34081""";Guaza de Campos;58;61;60;58;59;-1
"""34082""";Hérmedes de Cerrato;78;79;80;78;81;-3
"""34083""";Herrera de Pisuerga;1889;1914;1966;2006;2056;-167
"""34084""";Herrera de Valdecañas;154;156;161;146;147;7
"""34086""";Hontoria de Cerrato;102;104;105;103;102;0
"""34087""";Hornillos de Cerrato;143;143;141;143;145;-2
"""34088""";Husillos;358;330;320;313;303;55
"""34089""";Itero de la Vega;152;154;152;157;165;-13
"""34091""";Lagartos;128;124;132;136;136;-8
"""34092""";Lantadilla;284;280;283;291;305;-21
"""34094""";Ledigos;65;66;64;63;67;-2
"""34903""";Loma de Ucieza;199;194;195;198;208;-9
"""34096""";Lomas;45;49;51;51;53;-8
"""34098""";Magaz de Pisuerga;1024;1015;1005;993;981;43
"""34099""";Manquillos;61;61;66;82;84;-23
"""34100""";Mantinos;140;143;141;144;146;-6
"""34101""";Marcilla de Campos;45;51;46;41;36;9
"""34102""";Mazariegos;217;212;220;217;215;2
"""34103""";Mazuecos de Valdeginate;93;95;98;102;95;-2
"""34104""";Melgar de Yuso;254;248;251;259;256;-2
"""34106""";Meneses de Campos;120;121;124;122;117;3
"""34107""";Micieces de Ojeda;71;74;73;74;80;-9
"""34108""";Monzón de Campos;596;586;592;610;616;-20
"""34109""";Moratinos;63;62;65;59;58;5
"""34110""";Mudá;81;84;86;82;87;-6
"""34112""";Nogal de las Huertas;39;41;41;46;48;-9
"""34113""";Olea de Boedo;41;41;40;39;38;3
"""34114""";Olmos de Ojeda;187;194;197;198;201;-14
"""34116""";Osornillo;56;56;56;57;61;-5
"""34901""";Osorno la Mayor;1171;1185;1205;1225;1252;-81
"""34120""";Palencia;77090;78144;78412;78629;78892;-1802
"""34121""";Palenzuela;214;212;206;211;212;2
"""34122""";Páramo de Boedo;106;112;126;121;116;-10
"""34123""";Paredes de Nava;1875;1892;1885;1930;1923;-48
"""34124""";Payo de Ojeda;63;62;67;66;64;-1
"""34125""";Pedraza de Campos;74;95;82;88;88;-14
"""34126""";Pedrosa de la Vega;288;301;300;324;341;-53
"""34127""";Perales;91;92;87;90;95;-4
"""34904""";Pernía, La;316;316;320;320;324;-8
"""34129""";Pino del Río;174;170;174;179;184;-10
"""34130""";Piña de Campos;203;206;217;220;230;-27
"""34131""";Población de Arroyo;56;55;60;61;61;-5
"""34132""";Población de Campos;135;131;129;131;137;-2
"""34133""";Población de Cerrato;112;107;109;110;116;-4
"""34134""";Polentinos;44;41;38;42;44;0
"""34135""";Pomar de Valdivia;475;467;470;463;467;8
"""34136""";Poza de la Vega;175;176;174;184;197;-22
"""34137""";Pozo de Urama;21;23;24;24;25;-4
"""34139""";Prádanos de Ojeda;185;186;191;194;193;-8
"""34140""";Puebla de Valdavia, La;92;95;100;105;108;-16
"""34141""";Quintana del Puente;290;282;263;252;255;35
"""34143""";Quintanilla de Onsoña;179;181;179;184;186;-7
"""34146""";Reinoso de Cerrato;58;54;53;53;51;7
"""34147""";Renedo de la Vega;191;186;187;198;195;-4
"""34149""";Requena de Campos;22;22;18;21;22;0
"""34151""";Respenda de la Peña;147;151;151;154;161;-14
"""34152""";Revenga de Campos;147;146;152;151;148;-1
"""34154""";Revilla de Collazos;79;75;77;80;80;-1
"""34155""";Ribas de Campos;137;140;143;146;150;-13
"""34156""";Riberos de la Cueza;54;54;54;52;54;0
"""34157""";Saldaña;2950;2958;2961;3004;3067;-117
"""34158""";Salinas de Pisuerga;311;318;319;317;334;-23
"""34159""";San Cebrián de Campos;413;420;415;433;445;-32
"""34160""";San Cebrián de Mudá;154;154;156;162;159;-5
"""34161""";San Cristóbal de Boedo;23;22;22;23;23;0
"""34163""";San Mamés de Campos;49;47;52;51;53;-4
"""34165""";San Román de la Cuba;62;61;61;65;68;-6
"""34167""";Santa Cecilia del Alcor;107;114;118;120;121;-14
"""34168""";Santa Cruz de Boedo;49;49;48;52;53;-4
"""34169""";Santervás de la Vega;413;439;442;459;466;-53
"""34170""";Santibáñez de Ecla;48;51;52;54;58;-10
"""34171""";Santibáñez de la Peña;1002;1005;1035;1044;1060;-58
"""34174""";Santoyo;188;180;189;197;206;-18
"""34175""";Serna, La;94;95;96;100;97;-3
"""34177""";Soto de Cerrato;192;192;185;191;188;4
"""34176""";Sotobañado y Priorato;144;139;142;145;150;-6
"""34178""";Tabanera de Cerrato;137;133;135;137;146;-9
"""34179""";Tabanera de Valdavia;24;26;27;25;26;-2
"""34180""";Támara de Campos;74;76;67;71;71;3
"""34181""";Tariego de Cerrato;485;476;481;490;513;-28
"""34182""";Torquemada;970;954;954;968;989;-19
"""34184""";Torremormojón;47;43;44;45;57;-10
"""34185""";Triollo;71;68;67;64;61;10
"""34186""";Valbuena de Pisuerga;46;47;47;47;49;-3
"""34189""";Valdeolmillos;57;56;57;61;64;-7
"""34190""";Valderrábano;48;50;50;51;55;-7
"""34192""";Valde-Ucieza;81;80;91;96;96;-15
"""34196""";Valle de Cerrato;88;85;90;88;90;-2
"""34902""";Valle del Retortillo;174;160;164;174;177;-3
"""34199""";Velilla del Río Carrión;1187;1230;1268;1299;1330;-143
"""34023""";Venta de Baños;6399;6401;6360;6363;6429;-30
"""34201""";Vertavillo;169;176;179;184;196;-27
"""34093""";Vid de Ojeda, La;88;90;94;98;98;-10
"""34202""";Villabasta de Valdavia;32;32;32;32;30;2
"""34204""";Villacidaler;45;47;53;48;46;-1
"""34205""";Villaconancio;60;62;61;63;65;-5
"""34206""";Villada;897;920;934;963;1002;-105
"""34208""";Villaeles de Valdavia;53;51;49;58;52;1
"""34210""";Villahán;95;98;106;104;105;-10
"""34211""";Villaherreros;203;204;201;193;203;0
"""34213""";Villalaco;52;57;56;57;59;-7
"""34214""";Villalba de Guardo;191;184;187;196;198;-7
"""34215""";Villalcázar de Sirga;168;171;172;169;172;-4
"""34216""";Villalcón;61;60;61;66;68;-7
"""34217""";Villalobón;1768;1734;1690;1652;1612;156
"""34218""";Villaluenga de la Vega;566;574;595;589;575;-9
"""34220""";Villamartín de Campos;187;181;176;177;172;15
"""34221""";Villamediana;182;176;175;175;184;-2
"""34222""";Villameriel;108;106;112;118;122;-14
"""34223""";Villamoronta;243;241;237;235;244;-1
"""34224""";Villamuera de la Cueza;36;38;43;45;46;-10
"""34225""";Villamuriel de Cerrato;6470;6469;6469;6503;6483;-13
"""34227""";Villanueva del Rebollar;68;72;75;75;76;-8
"""34228""";Villanuño de Valdavia;92;89;88;90;95;-3
"""34229""";Villaprovedo;52;56;59;62;68;-16
"""34230""";Villarmentero de Campos;18;18;17;16;23;-5
"""34231""";Villarrabé;192;199;208;207;215;-23
"""34232""";Villarramiel;833;818;820;826;833;0
"""34233""";Villasarracino;138;137;141;143;139;-1
"""34234""";Villasila de Valdavia;64;70;72;71;72;-8
"""34236""";Villaturde;158;157;159;155;166;-8
"""34237""";Villaumbrales;653;650;648;665;676;-23
"""34238""";Villaviudas;355;345;357;365;379;-24
"""34240""";Villerías de Campos;86;82;90;97;97;-11
"""34241""";Villodre;17;15;18;17;17;0
"""34242""";Villodrigo;109;110;114;109;115;-6
"""34243""";Villoldo;325;343;362;369;358;-33
"""34245""";Villota del Páramo;315;332;333;327;333;-18
"""34246""";Villovieco;68;74;76;75;72;-4
