Municipio;Nombre;2021;2020;2019;2018;2017;AumentoPoblacion
"""24001""";Acebedo;185;184;187;202;205;-20
"""24002""";Algadefe;283;278;289;286;284;-1
"""24003""";Alija del Infantado;594;629;647;671;687;-93
"""24004""";Almanza;596;581;574;558;553;43
"""24005""";Antigua, La;351;358;360;377;395;-44
"""24006""";Ardón;562;560;560;533;548;14
"""24007""";Arganza;788;774;816;802;819;-31
"""24008""";Astorga;10553;10741;10867;11029;11153;-600
"""24009""";Balboa;287;292;290;308;318;-31
"""24010""";Bañeza, La;10068;10290;10338;10307;10349;-281
"""24011""";Barjas;167;172;190;194;189;-22
"""24012""";Barrios de Luna, Los;308;307;314;313;310;-2
"""24014""";Bembibre;8455;8598;8705;8979;9191;-736
"""24015""";Benavides;2426;2440;2455;2497;2522;-96
"""24016""";Benuza;464;482;530;489;487;-23
"""24017""";Bercianos del Páramo;541;554;562;580;580;-39
"""24018""";Bercianos del Real Camino;178;185;193;193;193;-15
"""24019""";Berlanga del Bierzo;347;354;360;360;366;-19
"""24020""";Boca de Huérgano;444;455;464;475;470;-26
"""24021""";Boñar;1819;1816;1832;1850;1865;-46
"""24022""";Borrenes;306;309;315;319;332;-26
"""24023""";Brazuelo;306;337;295;287;288;18
"""24024""";Burgo Ranero, El;725;702;715;733;751;-26
"""24025""";Burón;294;303;308;304;325;-31
"""24026""";Bustillo del Páramo;1113;1129;1165;1184;1235;-122
"""24027""";Cabañas Raras;1331;1335;1356;1330;1337;-6
"""24028""";Cabreros del Río;409;417;413;412;421;-12
"""24029""";Cabrillanes;731;747;759;775;779;-48
"""24030""";Cacabelos;4888;4996;5118;5132;5152;-264
"""24031""";Calzada del Coto;217;218;223;231;241;-24
"""24032""";Campazas;113;111;119;123;121;-8
"""24033""";Campo de Villavidel;211;212;209;203;205;6
"""24034""";Camponaraya;4105;4097;4096;4062;4072;33
"""24036""";Candín;255;249;274;273;283;-28
"""24037""";Cármenes;335;344;352;357;363;-28
"""24038""";Carracedelo;3403;3364;3425;3472;3500;-97
"""24039""";Carrizo;2266;2224;2228;2269;2278;-12
"""24040""";Carrocera;452;446;451;465;479;-27
"""24041""";Carucedo;511;531;562;557;555;-44
"""24042""";Castilfalé;65;67;69;65;68;-3
"""24043""";Castrillo de Cabrera;108;111;119;122;129;-21
"""24044""";Castrillo de la Valduerna;149;155;158;164;171;-22
"""24046""";Castrocalbón;940;938;964;979;1002;-62
"""24047""";Castrocontrigo;720;725;765;794;807;-87
"""24049""";Castropodame;1605;1629;1628;1658;1680;-75
"""24050""";Castrotierra de Valmadrigal;111;114;115;113;110;1
"""24051""";Cea;402;403;413;426;436;-34
"""24052""";Cebanico;141;148;147;153;158;-17
"""24053""";Cebrones del Río;423;439;451;461;472;-49
"""24065""";Chozas de Abajo;2596;2561;2581;2564;2553;43
"""24054""";Cimanes de la Vega;441;449;463;472;471;-30
"""24055""";Cimanes del Tejar;737;719;724;740;755;-18
"""24056""";Cistierna;3038;3090;3135;3150;3243;-205
"""24057""";Congosto;1431;1446;1475;1533;1554;-123
"""24058""";Corbillos de los Oteros;193;185;199;209;217;-24
"""24059""";Corullón;862;887;887;914;927;-65
"""24060""";Crémenes;522;527;544;544;570;-48
"""24061""";Cuadros;2057;2035;2001;2018;1986;71
"""24062""";Cubillas de los Oteros;133;135;141;147;152;-19
"""24063""";Cubillas de Rueda;389;409;388;404;411;-22
"""24064""";Cubillos del Sil;1796;1768;1816;1839;1859;-63
"""24066""";Destriana;441;459;479;495;511;-70
"""24067""";Encinedo;661;690;709;686;715;-54
"""24068""";Ercina, La;450;441;457;462;473;-23
"""24069""";Escobar de Campos;33;34;39;42;42;-9
"""24070""";Fabero;4346;4386;4493;4551;4635;-289
