Municipio;Nombre;2021;2020;2019;2018;2017;AumentoPoblacion
"""09001""";Abajas;29;31;31;27;27;2
"""09003""";Adrada de Haza;197;203;203;219;221;-24
"""09006""";Aguas Cándidas;56;56;56;57;56;0
"""09007""";Aguilar de Bureba;52;57;58;61;60;-8
"""09009""";Albillos;221;210;209;214;215;6
"""09010""";Alcocero de Mola;33;32;32;36;34;-1
"""09011""";Alfoz de Bricia;73;70;76;77;77;-4
"""09907""";Alfoz de Quintanadueñas;2163;2179;2114;2007;2006;157
"""09012""";Alfoz de Santa Gadea;105;104;101;100;100;5
"""09013""";Altable;47;46;51;53;53;-6
"""09014""";Altos, Los;191;184;195;186;189;2
"""09016""";Ameyugo;116;113;107;105;101;15
"""09017""";Anguix;158;155;136;135;134;24
"""09018""";Aranda de Duero;33084;33187;32856;32523;32535;549
"""09019""";Arandilla;158;162;160;161;164;-6
"""09020""";Arauzo de Miel;288;306;306;326;328;-40
"""09021""";Arauzo de Salce;47;54;58;56;59;-12
"""09022""";Arauzo de Torre;71;77;71;73;73;-2
"""09023""";Arcos;1816;1775;1734;1684;1626;190
"""09024""";Arenillas de Riopisuerga;176;174;180;182;178;-2
"""09025""";Arija;118;121;129;126;136;-18
"""09026""";Arlanzón;419;407;400;408;414;5
"""09027""";Arraya de Oca;46;47;49;49;42;4
"""09029""";Atapuerca;182;166;162;172;181;1
"""09030""";Ausines, Los;131;133;133;129;132;-1
"""09032""";Avellanosa de Muñó;103;106;108;112;114;-11
"""09033""";Bahabón de Esgueva;80;79;81;73;78;2
"""09034""";Balbases, Los;321;319;324;311;306;15
"""09035""";Baños de Valdearados;322;333;324;342;350;-28
"""09036""";Bañuelos de Bureba;31;35;37;34;35;-4
"""09037""";Barbadillo de Herreros;112;109;107;109;110;2
"""09038""";Barbadillo del Mercado;144;140;142;143;129;15
"""09039""";Barbadillo del Pez;65;63;68;67;68;-3
"""09041""";Barrio de Muñó;32;31;33;33;33;-1
"""09043""";Barrios de Bureba, Los;186;179;198;194;202;-16
"""09044""";Barrios de Colina;51;55;56;53;51;0
"""09045""";Basconcillos del Tozo;292;295;293;285;295;-3
"""09046""";Bascuñana;21;23;24;25;27;-6
"""09047""";Belbimbre;57;57;61;67;64;-7
"""09048""";Belorado;1754;1780;1781;1816;1852;-98
"""09050""";Berberana;54;60;54;55;64;-10
"""09051""";Berlangas de Roa;180;183;184;184;180;0
"""09052""";Berzosa de Bureba;27;29;29;29;30;-3
"""09054""";Bozoó;100;97;95;98;109;-9
"""09055""";Brazacorta;51;54;56;55;60;-9
"""09056""";Briviesca;6465;6582;6595;6675;6860;-395
"""09057""";Bugedo;196;187;186;173;173;23
"""09058""";Buniel;605;563;546;543;529;76
"""09059""";Burgos;174051;176418;175821;175921;175623;-1572
"""09060""";Busto de Bureba;138;133;139;149;154;-16
"""09061""";Cabañes de Esgueva;166;160;164;169;173;-7
"""09062""";Cabezón de la Sierra;40;40;40;53;59;-19
"""09064""";Caleruega;419;420;423;433;441;-22
"""09065""";Campillo de Aranda;169;179;182;162;167;2
"""09066""";Campolara;56;57;57;61;67;-11
"""09067""";Canicosa de la Sierra;436;433;449;470;478;-42
"""09068""";Cantabrana;25;25;25;27;28;-3
"""09070""";Carazo;30;30;33;33;34;-4
"""09071""";Carcedo de Bureba;45;40;42;44;41;4
"""09072""";Carcedo de Burgos;448;424;399;411;416;32
"""09073""";Cardeñadijo;1414;1369;1341;1313;1307;107
"""09074""";Cardeñajimeno;1175;1136;1105;1101;1086;89
"""09075""";Cardeñuela Riopico;109;115;115;112;114;-5
"""09076""";Carrias;25;25;26;25;25;0
"""09077""";Cascajares de Bureba;29;30;32;33;34;-5
"""09078""";Cascajares de la Sierra;32;33;37;37;37;-5
"""09079""";Castellanos de Castro;49;50;51;50;51;-2
"""09083""";Castil de Peones;25;25;27;32;36;-11
"""09082""";Castildelgado;33;36;36;36;40;-7
"""09084""";Castrillo de la Reina;173;176;177;185;189;-16
"""09085""";Castrillo de la Vega;648;650;621;632;615;33
"""09088""";Castrillo de Riopisuerga;57;60;61;62;60;-3
"""09086""";Castrillo del Val;814;793;796;792;786;28
"""09090""";Castrillo Mota de Judíos;49;50;51;52;53;-4
"""09091""";Castrojeriz;758;782;796;803;817;-59
"""09063""";Cavia;248;238;242;233;233;15
"""09093""";Cayuela;190;183;184;177;174;16
"""09094""";Cebrecos;54;52;53;54;51;3
"""09095""";Celada del Camino;102;115;123;115;91;11
"""09098""";Cerezo de Río Tirón;532;541;555;575;581;-49
"""09100""";Cerratón de Juarros;52;55;62;57;51;1
"""09101""";Ciadoncha;78;80;75;78;81;-3
"""09102""";Cillaperlata;35;31;32;33;35;0
"""09103""";Cilleruelo de Abajo;218;210;218;224;237;-19
"""09104""";Cilleruelo de Arriba;41;47;44;44;46;-5
"""09105""";Ciruelos de Cervera;104;97;99;101;110;-6
"""09108""";Cogollos;592;570;557;545;531;61
"""09109""";Condado de Treviño;1416;1363;1342;1352;1339;77
"""09110""";Contreras;81;80;77;80;79;2
"""09112""";Coruña del Conde;105;107;109;112;120;-15
"""09113""";Covarrubias;539;541;552;545;560;-21
"""09114""";Cubillo del Campo;102;99;92;95;93;9
"""09115""";Cubo de Bureba;105;95;98;98;101;4
"""09117""";Cueva de Roa, La;106;120;122;85;87;19
"""09119""";Cuevas de San Clemente;42;41;46;45;45;-3
"""09120""";Encío;43;44;39;42;40;3
"""09122""";Espinosa de Cervera;90;91;100;95;99;-9
"""09124""";Espinosa de los Monteros;1674;1651;1681;1696;1727;-53
"""09123""";Espinosa del Camino;46;42;45;44;45;1
"""09125""";Estépar;604;596;589;608;620;-16
"""09127""";Fontioso;50;57;54;52;61;-11
"""09128""";Frandovínez;97;86;94;84;90;7
"""09129""";Fresneda de la Sierra Tirón;94;94;95;101;104;-10
"""09130""";Fresneña;69;68;68;76;77;-8
"""09131""";Fresnillo de las Dueñas;695;677;660;653;649;46
