Municipio;Nombre;2021;2020;2019;2018;2017;AumentoPoblacion
"""47001""";Adalia;52;53;53;58;59;-7
"""47002""";Aguasal;17;18;19;23;24;-7
"""47003""";Aguilar de Campos;257;254;243;244;256;1
"""47004""";Alaejos;1380;1379;1369;1382;1389;-9
"""47005""";Alcazarén;632;630;635;640;647;-15
"""47006""";Aldea de San Miguel;217;213;224;222;232;-15
"""47007""";Aldeamayor de San Martín;5789;5634;5524;5455;5292;497
"""47008""";Almenara de Adaja;23;22;22;21;25;-2
"""47009""";Amusquillo;100;102;103;105;110;-10
"""47010""";Arroyo de la Encomienda;20716;20537;20179;19632;19421;1295
"""47011""";Ataquines;564;569;583;549;572;-8
"""47012""";Bahabón;98;103;108;108;112;-14
"""47013""";Barcial de la Loma;86;91;92;96;99;-13
"""47014""";Barruelo del Valle;47;48;52;56;62;-15
"""47015""";Becilla de Valderaduey;218;234;238;244;230;-12
"""47016""";Benafarces;68;69;72;68;71;-3
"""47017""";Bercero;195;196;207;210;211;-16
"""47018""";Berceruelo;38;35;36;39;37;1
"""47019""";Berrueces;102;108;109;95;93;9
"""47020""";Bobadilla del Campo;292;292;293;298;304;-12
"""47021""";Bocigas;80;90;80;84;84;-4
"""47022""";Bocos de Duero;69;72;75;61;60;9
"""47023""";Boecillo;4219;4148;4206;4154;4104;115
"""47024""";Bolaños de Campos;277;289;291;304;334;-57
"""47025""";Brahojos de Medina;106;116;117;120;124;-18
"""47026""";Bustillo de Chaves;63;65;69;68;72;-9
"""47027""";Cabezón de Pisuerga;3747;3763;3713;3693;3678;69
"""47028""";Cabezón de Valderaduey;41;41;33;36;37;4
"""47029""";Cabreros del Monte;63;66;62;58;66;-3
"""47030""";Campaspero;1047;1060;1079;1102;1114;-67
"""47031""";Campillo, El;219;213;222;228;225;-6
"""47032""";Camporredondo;153;149;157;155;161;-8
"""47033""";Canalejas de Peñafiel;241;238;231;228;224;17
"""47034""";Canillas de Esgueva;78;75;75;72;75;3
"""47035""";Carpio;965;994;1016;1024;1022;-57
"""47036""";Casasola de Arión;235;250;249;244;249;-14
"""47037""";Castrejón de Trabancos;170;177;174;174;178;-8
"""47038""";Castrillo de Duero;103;109;111;110;119;-16
"""47039""";Castrillo-Tejeriego;162;163;171;179;184;-22
"""47040""";Castrobol;54;56;61;63;66;-12
"""47041""";Castrodeza;151;154;160;161;158;-7
"""47042""";Castromembibre;53;54;54;65;58;-5
"""47043""";Castromonte;314;318;320;309;315;-1
"""47044""";Castronuevo de Esgueva;379;370;369;372;385;-6
"""47045""";Castronuño;825;833;828;861;871;-46
"""47046""";Castroponce;148;138;143;147;145;3
"""47047""";Castroverde de Cerrato;196;215;221;225;230;-34
"""47048""";Ceinos de Campos;209;210;211;225;228;-19
"""47049""";Cervillego de la Cruz;83;87;90;94;94;-11
"""47050""";Cigales;5299;5328;5235;5160;5067;232
"""47051""";Ciguñuela;375;371;369;381;385;-10
"""47052""";Cistérniga;9109;9016;9034;9049;8984;125
"""47053""";Cogeces de Íscar;142;136;141;144;139;3
"""47054""";Cogeces del Monte;637;659;685;691;703;-66
"""47055""";Corcos;203;203;201;209;203;0
"""47056""";Corrales de Duero;109;113;105;100;98;11
"""47057""";Cubillas de Santa Marta;352;329;326;307;295;57
"""47058""";Cuenca de Campos;208;215;224;226;227;-19
"""47059""";Curiel de Duero;118;118;123;126;129;-11
"""47060""";Encinas de Esgueva;221;231;248;257;272;-51
"""47061""";Esguevillas de Esgueva;269;265;271;272;272;-3
"""47062""";Fombellida;166;176;173;173;174;-8
"""47063""";Fompedraza;103;100;99;110;107;-4
"""47064""";Fontihoyuelo;36;39;38;34;34;2
"""47065""";Fresno el Viejo;848;878;885;913;927;-79
"""47066""";Fuensaldaña;1996;1954;1773;1640;1607;389
"""47067""";Fuente el Sol;148;150;156;156;168;-20
"""47068""";Fuente-Olmedo;34;34;34;35;35;-1
"""47069""";Gallegos de Hornija;111;115;122;129;134;-23
"""47070""";Gatón de Campos;27;32;33;34;34;-7
"""47071""";Geria;512;506;509;524;508;4
"""47073""";Herrín de Campos;119;122;122;127;130;-11
"""47074""";Hornillos de Eresma;174;166;165;166;163;11
"""47075""";Íscar;6298;6341;6344;6370;6420;-122
"""47076""";Laguna de Duero;22633;22765;22725;22645;22691;-58
"""47077""";Langayo;242;250;248;246;258;-16
"""47079""";Llano de Olmedo;59;60;59;61;62;-3
"""47078""";Lomoviejo;178;178;176;175;178;0
"""47080""";Manzanillo;49;54;52;55;50;-1
"""47081""";Marzales;43;43;45;48;48;-5
"""47082""";Matapozuelos;1039;1033;1058;1045;1055;-16
"""47083""";Matilla de los Caños;94;100;102;107;106;-12
"""47084""";Mayorga;1471;1478;1509;1590;1618;-147
"""47086""";Medina de Rioseco;4550;4606;4647;4716;4770;-220
"""47085""";Medina del Campo;20271;20416;20510;20583;20679;-408
"""47087""";Megeces;433;427;430;428;431;2
"""47088""";Melgar de Abajo;120;114;112;110;102;18
"""47089""";Melgar de Arriba;153;153;147;157;166;-13
"""47090""";Mojados;3311;3258;3210;3252;3243;68
"""47091""";Monasterio de Vega;79;82;77;78;86;-7
"""47092""";Montealegre de Campos;103;110;109;116;120;-17
"""47093""";Montemayor de Pililla;852;857;868;884;896;-44
"""47094""";Moral de la Reina;150;148;148;158;169;-19
"""47095""";Moraleja de las Panaderas;47;43;42;41;41;6
"""47096""";Morales de Campos;141;141;138;142;140;1
"""47097""";Mota del Marqués;349;349;351;366;373;-24
"""47098""";Mucientes;642;653;662;669;681;-39
"""47099""";Mudarra, La;156;157;158;159;161;-5
"""47100""";Muriel;117;122;123;139;140;-23
"""47101""";Nava del Rey;1968;1975;1986;2039;2074;-106
"""47102""";Nueva Villa de las Torres;276;272;280;294;301;-25
"""47103""";Olivares de Duero;313;296;296;313;308;5
"""47104""";Olmedo;3574;3646;3643;3654;3666;-92
"""47105""";Olmos de Esgueva;185;185;201;212;211;-26
"""47106""";Olmos de Peñafiel;53;53;52;57;60;-7
"""47109""";Palazuelo de Vedija;174;179;191;190;205;-31
"""47110""";Parrilla, La;482;479;480;484;493;-11
"""47111""";Pedraja de Portillo, La;1122;1126;1139;1142;1123;-1
"""47112""";Pedrajas de San Esteban;3334;3314;3327;3322;3342;-8
"""47113""";Pedrosa del Rey;155;158;168;185;193;-38
"""47114""";Peñafiel;5068;5054;5037;5090;5201;-133
"""47115""";Peñaflor de Hornija;330;302;297;298;305;25
"""47116""";Pesquera de Duero;434;442;448;457;466;-32
"""47117""";Piña de Esgueva;318;318;324;330;341;-23
"""47118""";Piñel de Abajo;172;159;161;167;183;-11
"""47119""";Piñel de Arriba;92;91;89;91;100;-8
"""47121""";Pollos;611;601;597;593;595;16
"""47122""";Portillo;2383;2373;2432;2454;2435;-52
"""47123""";Pozal de Gallinas;537;547;539;541;549;-12
"""47124""";Pozaldez;473;478;482;496;492;-19
"""47125""";Pozuelo de la Orden;45;46;49;55;57;-12
"""47126""";Puras;42;43;46;48;50;-8
"""47127""";Quintanilla de Arriba;160;162;163;158;155;5
"""47129""";Quintanilla de Onésimo;1031;1026;1028;1019;1055;-24
"""47130""";Quintanilla de Trigueros;105;101;108;105;101;4
"""47128""";Quintanilla del Molar;57;61;65;61;63;-6
"""47131""";Rábano;169;174;177;182;184;-15
"""47132""";Ramiro;49;43;43;47;49;0
"""47133""";Renedo de Esgueva;3875;3814;3788;3764;3724;151
"""47134""";Roales de Campos;160;161;157;161;163;-3
"""47135""";Robladillo;89;91;92;97;94;-5
"""47137""";Roturas;29;28;33;32;31;-2
"""47138""";Rubí de Bracamonte;215;228;228;235;247;-32
"""47139""";Rueda;1204;1237;1254;1285;1300;-96
"""47140""";Saelices de Mayorga;113;108;113;114;119;-6
"""47141""";Salvador de Zapardiel;110;116;120;130;135;-25
"""47142""";San Cebrián de Mazote;122;129;135;140;147;-25
"""47143""";San Llorente;110;105;113;117;120;-10
"""47144""";San Martín de Valvení;80;81;83;86;85;-5
"""47145""";San Miguel del Arroyo;658;659;668;671;677;-19
"""47146""";San Miguel del Pino;350;344;350;339;331;19
"""47147""";San Pablo de la Moraleja;108;112;109;113;117;-9
"""47148""";San Pedro de Latarce;461;476;483;495;510;-49
"""47149""";San Pelayo;48;50;49;51;54;-6
"""47150""";San Román de Hornija;303;307;312;328;327;-24
"""47151""";San Salvador;24;25;26;29;31;-7
"""47156""";San Vicente del Palacio;160;162;161;168;177;-17
"""47152""";Santa Eufemia del Arroyo;71;72;75;91;86;-15
"""47153""";Santervás de Campos;110;113;118;115;121;-11
"""47154""";Santibáñez de Valcorba;181;168;164;158;162;19
"""47155""";Santovenia de Pisuerga;4604;4604;4480;4346;4298;306
"""47157""";Sardón de Duero;602;579;580;583;597;5
"""47158""";Seca, La;1066;1059;1077;1094;1091;-25
"""47159""";Serrada;1111;1103;1136;1135;1127;-16
"""47160""";Siete Iglesias de Trabancos;427;431;428;431;456;-29
"""47161""";Simancas;5315;5267;5276;5242;5214;101
"""47162""";Tamariz de Campos;68;73;80;55;57;11
"""47163""";Tiedra;285;287;288;294;297;-12
"""47164""";Tordehumos;406;411;417;433;441;-35
"""47165""";Tordesillas;8762;8745;8750;8825;8858;-96
"""47169""";Torre de Esgueva;66;65;65;71;72;-6
"""47170""";Torre de Peñafiel;45;48;48;42;41;4
"""47166""";Torrecilla de la Abadesa;270;276;273;275;280;-10
"""47167""";Torrecilla de la Orden;240;248;253;247;261;-21
"""47168""";Torrecilla de la Torre;36;36;35;33;30;6
"""47171""";Torrelobatón;390;400;408;425;433;-43
"""47172""";Torrescárcela;168;159;154;150;160;8
"""47173""";Traspinedo;1149;1111;1109;1089;1090;59
"""47174""";Trigueros del Valle;309;304;314;298;296;13
"""47175""";Tudela de Duero;8648;8620;8564;8547;8551;97
"""47176""";Unión de Campos, La;216;230;228;238;254;-38
"""47177""";Urones de Castroponce;108;110;110;102;109;-1
"""47178""";Urueña;191;189;182;188;192;-1
"""47179""";Valbuena de Duero;436;462;468;471;475;-39
"""47180""";Valdearcos de la Vega;52;55;57;61;71;-19
"""47181""";Valdenebro de los Valles;193;199;192;197;208;-15
"""47182""";Valdestillas;1607;1632;1643;1657;1665;-58
"""47183""";Valdunquillo;138;144;147;133;141;-3
"""47186""";Valladolid;297775;299265;298412;298866;299715;-1940
"""47184""";Valoria la Buena;678;630;629;647;668;10
"""47185""";Valverde de Campos;88;91;95;100;104;-16
"""47187""";Vega de Ruiponce;85;89;90;94;100;-15
"""47188""";Vega de Valdetronco;96;118;118;108;109;-13
"""47189""";Velascálvaro;168;165;163;162;166;2
"""47190""";Velilla;115;114;110;113;113;2
"""47191""";Velliza;118;112;118;108;108;10
"""47192""";Ventosa de la Cuesta;98;96;103;108;110;-12
"""47193""";Viana de Cega;2160;2062;2032;2038;2021;139
"""47195""";Villabáñez;492;489;490;504;519;-27
"""47196""";Villabaruz de Campos;26;30;29;34;35;-9
"""47197""";Villabrágima;1044;1053;1036;1033;1040;4
"""47198""";Villacarralón;72;74;79;82;88;-16
"""47199""";Villacid de Campos;81;72;70;74;77;4
"""47200""";Villaco;75;74;76;83;90;-15
"""47203""";Villafrades de Campos;61;62;66;65;68;-7
"""47204""";Villafranca de Duero;268;267;258;274;279;-11
"""47205""";Villafrechós;462;480;490;505;491;-29
"""47206""";Villafuerte;86;85;80;82;86;0
"""47207""";Villagarcía de Campos;282;300;307;309;322;-40
"""47208""";Villagómez la Nueva;63;64;68;67;65;-2
"""47209""";Villalán de Campos;35;32;33;35;39;-4
"""47210""";Villalar de los Comuneros;473;468;468;458;458;15
"""47211""";Villalba de la Loma;46;50;55;55;54;-8
"""47212""";Villalba de los Alcores;370;368;379;400;409;-39
"""47213""";Villalbarba;109;115;121;123;121;-12
"""47214""";Villalón de Campos;1526;1561;1602;1606;1652;-126
"""47215""";Villamuriel de Campos;49;49;52;53;56;-7
"""47216""";Villán de Tordesillas;123;117;127;128;123;0
"""47217""";Villanubla;2828;2769;2713;2692;2671;157
"""47218""";Villanueva de Duero;1227;1189;1184;1170;1165;62
"""47219""";Villanueva de la Condesa;58;56;61;58;58;0
"""47220""";Villanueva de los Caballeros;178;180;175;172;169;9
"""47221""";Villanueva de los Infantes;105;99;102;107;111;-6
"""47222""";Villanueva de San Mancio;89;82;87;85;84;5
"""47223""";Villardefrades;153;162;170;167;168;-15
"""47224""";Villarmentero de Esgueva;102;106;111;103;101;1
"""47225""";Villasexmir;73;72;75;83;79;-6
"""47226""";Villavaquerín;162;161;159;167;173;-11
"""47227""";Villavellid;51;50;57;60;61;-10
"""47228""";Villaverde de Medina;518;513;533;514;517;1
"""47229""";Villavicencio de los Caballeros;233;233;245;239;221;12
"""47194""";Viloria;348;339;340;337;349;-1
"""47230""";Wamba;307;310;323;328;335;-28
"""47231""";Zaratán;6249;6235;6233;6212;6201;48
"""47232""";Zarza, La;118;110;111;114;116;2
