Municipio;Nombre;2021;2020;2019;2018;2017;AumentoPoblacion
"""50001""";Abanto;89;92;100;97;98;-9
"""50002""";Acered;140;158;166;165;171;-31
"""50003""";Agón;135;138;137;146;146;-11
"""50004""";Aguarón;616;624;636;631;684;-68
"""50005""";Aguilón;234;233;251;235;238;-4
"""50006""";Ainzón;1067;1064;1077;1085;1095;-28
"""50007""";Aladrén;58;52;52;52;47;11
"""50008""";Alagón;7121;7154;7163;7094;7025;96
"""50009""";Alarba;112;116;124;133;144;-32
"""50010""";Alberite de San Juan;77;74;69;72;77;0
"""50011""";Albeta;140;134;133;132;134;6
"""50012""";Alborge;111;107;107;108;105;6
"""50013""";Alcalá de Ebro;245;245;246;251;270;-25
"""50014""";Alcalá de Moncayo;153;143;143;144;152;1
"""50015""";Alconchel de Ariza;79;76;62;63;70;9
"""50016""";Aldehuela de Liestos;52;51;48;49;53;-1
"""50017""";Alfajarín;2374;2339;2315;2312;2288;86
"""50018""";Alfamén;1446;1443;1446;1441;1460;-14
"""50019""";Alforque;62;65;68;62;57;5
"""50020""";Alhama de Aragón;1002;1011;1020;1036;1053;-51
"""50021""";Almochuel;24;24;25;29;30;-6
"""50022""";Almolda, La;555;554;553;567;562;-7
"""50023""";Almonacid de la Cuba;234;230;243;252;260;-26
"""50024""";Almonacid de la Sierra;771;753;735;691;701;70
"""50025""";Almunia de Doña Godina, La;7983;8091;7951;7819;7660;323
"""50026""";Alpartir;604;568;555;579;546;58
"""50027""";Ambel;252;253;254;256;254;-2
"""50028""";Anento;91;95;106;95;93;-2
"""50029""";Aniñón;671;684;706;708;723;-52
"""50030""";Añón de Moncayo;205;222;212;213;200;5
"""50031""";Aranda de Moncayo;140;145;152;160;174;-34
"""50032""";Arándiga;274;278;302;309;308;-34
"""50033""";Ardisa;76;74;70;72;72;4
"""50034""";Ariza;1068;1100;1115;1139;1133;-65
"""50035""";Artieda;78;80;80;73;75;3
"""50036""";Asín;97;98;110;96;102;-5
"""50037""";Atea;149;147;151;156;145;4
"""50038""";Ateca;1729;1762;1762;1793;1825;-96
"""50039""";Azuara;544;529;540;543;551;-7
"""50040""";Badules;70;78;85;83;87;-17
"""50041""";Bagüés;16;16;17;12;11;5
"""50042""";Balconchán;19;20;16;17;16;3
"""50043""";Bárboles;297;282;293;300;312;-15
"""50044""";Bardallur;254;254;254;261;258;-4
"""50045""";Belchite;1540;1526;1505;1528;1526;14
"""50046""";Belmonte de Gracián;194;194;197;198;206;-12
"""50047""";Berdejo;40;40;47;47;51;-11
"""50048""";Berrueco;35;32;34;33;33;2
"""50901""";Biel;171;155;154;140;133;38
"""50050""";Bijuesca;90;94;94;98;99;-9
"""50051""";Biota;912;930;941;948;959;-47
"""50052""";Bisimbre;87;81;92;97;99;-12
"""50053""";Boquiñeni;778;776;787;808;844;-66
"""50054""";Bordalba;51;52;56;56;58;-7
"""50055""";Borja;5037;4978;4969;4922;4946;91
"""50056""";Botorrita;516;490;488;498;506;10
"""50057""";Brea de Aragón;1559;1589;1609;1665;1682;-123
"""50058""";Bubierca;64;65;66;63;66;-2
"""50059""";Bujaraloz;975;980;985;1005;1001;-26
"""50060""";Bulbuente;233;220;221;217;218;15
"""50061""";Bureta;206;206;214;217;222;-16
"""50062""";Burgo de Ebro, El;2538;2486;2436;2432;2431;107
"""50063""";Buste, El;69;71;66;72;68;1
"""50064""";Cabañas de Ebro;487;496;505;498;501;-14
"""50065""";Cabolafuente;49;53;33;32;34;15
"""50066""";Cadrete;4334;4235;4032;3891;3749;585
"""50067""";Calatayud;19870;20092;20024;20035;20173;-303
"""50068""";Calatorao;2921;2860;2881;2861;2845;76
"""50069""";Calcena;78;73;72;75;75;3
"""50070""";Calmarza;64;61;57;59;64;0
"""50071""";Campillo de Aragón;132;146;147;149;155;-23
"""50072""";Carenas;182;189;213;177;174;8
"""50073""";Cariñena;3370;3355;3302;3276;3339;31
"""50074""";Caspe;10183;10026;9748;9525;9491;692
"""50075""";Castejón de Alarba;78;88;91;92;91;-13
"""50076""";Castejón de las Armas;82;78;87;90;87;-5
"""50077""";Castejón de Valdejasa;216;209;210;221;221;-5
"""50078""";Castiliscar;248;254;263;265;262;-14
"""50079""";Cervera de la Cañada;264;260;271;271;286;-22
"""50080""";Cerveruela;37;34;33;35;38;-1
"""50081""";Cetina;578;583;593;592;606;-28
"""50092""";Chiprana;503;497;523;508;481;22
"""50093""";Chodes;100;104;104;113;112;-12
"""50082""";Cimballa;93;94;97;93;103;-10
"""50083""";Cinco Olivas;105;102;106;112;114;-9
"""50084""";Clarés de Ribota;68;67;66;65;72;-4
"""50085""";Codo;206;199;201;198;191;15
"""50086""";Codos;237;248;234;183;198;39
"""50087""";Contamina;33;32;37;37;35;-2
"""50088""";Cosuenda;335;337;364;367;372;-37
"""50089""";Cuarte de Huerva;13773;13450;13303;13055;12862;911
"""50090""";Cubel;146;155;155;168;175;-29
"""50091""";Cuerlas, Las;42;41;41;39;44;-2
"""50094""";Daroca;1914;1965;1983;1996;2044;-130
"""50095""";Ejea de los Caballeros;17036;16984;16783;16605;16596;440
"""50096""";Embid de Ariza;32;35;37;36;39;-7
"""50098""";Encinacorba;186;178;178;189;198;-12
"""50099""";Épila;4368;4372;4386;4402;4413;-45
"""50100""";Erla;356;341;342;345;354;2
"""50101""";Escatrón;1120;1067;1051;1026;1046;74
"""50102""";Fabara;1096;1109;1125;1152;1172;-76
"""50104""";Farlete;378;366;379;386;391;-13
"""50105""";Fayón;382;380;379;354;347;35
"""50106""";Fayos, Los;134;131;139;141;136;-2
"""50107""";Figueruelas;1239;1262;1259;1240;1230;9
"""50108""";Fombuena;59;60;56;54;52;7
"""50109""";Frago, El;115;97;99;99;107;8
"""50110""";Frasno, El;394;379;380;384;386;8
"""50111""";Fréscano;200;199;204;202;203;-3
"""50113""";Fuendejalón;766;784;778;793;817;-51
"""50114""";Fuendetodos;142;145;145;121;126;16
"""50115""";Fuentes de Ebro;4600;4549;4504;4543;4554;46
"""50116""";Fuentes de Jiloca;211;229;231;229;245;-34
"""50117""";Gallocanta;128;136;152;154;162;-34
"""50118""";Gallur;2555;2566;2596;2628;2643;-88
"""50119""";Gelsa;997;996;1013;995;1055;-58
"""50120""";Godojos;49;53;54;54;52;-3
"""50121""";Gotor;311;302;318;306;314;-3
"""50122""";Grisel;83;74;74;67;75;8
"""50123""";Grisén;605;590;589;597;625;-20
"""50124""";Herrera de los Navarros;496;489;506;506;526;-30
"""50125""";Ibdes;388;395;404;404;413;-25
"""50126""";Illueca;2778;2809;2924;2964;3044;-266
"""50128""";Isuerre;33;31;31;31;31;2
"""50129""";Jaraba;282;282;280;280;301;-19
"""50130""";Jarque de Moncayo;413;417;435;436;448;-35
"""50131""";Jaulín;275;251;235;237;250;25
"""50132""";Joyosa, La;1132;1101;1073;1072;1058;74
"""50133""";Lagata;114;109;111;111;119;-5
"""50134""";Langa del Castillo;116;122;121;132;133;-17
"""50135""";Layana;92;94;97;100;105;-13
"""50136""";Lécera;642;631;633;661;687;-45
"""50138""";Lechón;47;46;51;53;51;-4
"""50137""";Leciñena;1132;1146;1155;1162;1199;-67
"""50139""";Letux;343;342;364;342;349;-6
"""50140""";Litago;190;164;161;166;171;19
"""50141""";Lituénigo;119;123;120;127;119;0
"""50142""";Lobera de Onsella;25;26;28;28;30;-5
"""50143""";Longares;876;883;811;763;798;78
"""50144""";Longás;36;32;31;35;32;4
"""50146""";Lucena de Jalón;227;232;240;237;237;-10
"""50147""";Luceni;987;955;956;945;971;16
"""50148""";Luesia;342;297;288;310;310;32
"""50149""";Luesma;40;37;35;34;34;6
"""50150""";Lumpiaque;836;806;814;827;834;2
"""50151""";Luna;709;684;698;701;726;-17
"""50152""";Maella;2062;2008;1985;2007;2004;58
"""50153""";Magallón;1133;1112;1128;1133;1150;-17
"""50154""";Mainar;162;160;155;151;151;11
"""50155""";Malanquilla;95;89;92;100;105;-10
"""50156""";Maleján;260;276;259;259;254;6
"""50160""";Mallén;2977;3004;3035;3083;3140;-163
"""50157""";Malón;371;369;356;323;349;22
"""50159""";Maluenda;920;937;922;942;951;-31
"""50161""";Manchones;104;106;114;98;99;5
"""50162""";Mara;167;168;168;181;185;-18
"""50163""";María de Huerva;6021;5970;5812;5663;5619;402
"""50902""";Marracos;92;84;86;86;89;3
"""50164""";Mediana de Aragón;465;447;461;465;468;-3
"""50165""";Mequinenza;2292;2279;2324;2301;2329;-37
"""50166""";Mesones de Isuela;265;257;264;271;274;-9
"""50167""";Mezalocha;238;233;238;240;248;-10
"""50168""";Mianos;28;27;30;32;32;-4
"""50169""";Miedes de Aragón;429;415;433;432;454;-25
"""50170""";Monegrillo;389;394;405;413;419;-30
"""50171""";Moneva;121;114;97;94;103;18
"""50172""";Monreal de Ariza;193;189;200;212;208;-15
"""50173""";Monterde;135;143;157;159;168;-33
"""50174""";Montón;89;90;94;94;94;-5
"""50175""";Morata de Jalón;1077;1066;1079;1097;1146;-69
"""50176""";Morata de Jiloca;260;276;302;282;282;-22
"""50177""";Morés;338;321;323;334;335;3
"""50178""";Moros;304;319;343;362;364;-60
"""50179""";Moyuela;262;265;280;245;258;4
