Municipio;Nombre;PrecioM2MedMunTipo;RentaMunicipio;RentaMedia;AumentoPoblacion
"""05019""";Ávila;1025,1;26267,0;21986,0;-200,0
"""09018""";Aranda de Duero;1122,8;26366,0;26863,0;549,0
"""09059""";Burgos;1424,7;28673,0;26863,0;-1572,0
"""09219""";Miranda de Ebro;1033,0;27419,0;26863,0;-80,0
"""24089""";León;1267,7;28424,0;24547,0;-3266,0
"""24115""";Ponferrada;766,8;24992,0;24547,0;-2041,0
"""24142""";San Andrés del Rabanedo;907,1;23790,0;24547,0;-963,0
"""34120""";Palencia;1139,0;26719,0;24470,0;-1802,0
"""37274""";Salamanca;1567,7;26839,0;24569,0;-1167,0
"""40194""";Segovia;1438,2;27121,0;24558,0;-498,0
"""42173""";Soria;1102,5;27079,0;24315,0;814,0
"""47186""";Valladolid;1416,0;29667,0;27941,0;-1940,0
"""49275""";Zamora;1092,1;24955,0;21386,0;-2092,0
"""02003""";Albacete;1217,6;27350,0;23259,0;-94,0
"""02009""";Almansa;728,7;23607,0;23259,0;-178,0
"""02037""";Hellín;685,9;19484,0;23259,0;243,0
"""02081""";Villarrobledo;606,5;21371,0;23259,0;-339,0
"""13005""";Alcázar de San Juan;745,0;25944,0;22943,0;-395,0
"""13034""";Ciudad Real;1028,5;29775,0;22943,0;463,0
"""13071""";Puertollano;560,7;27689,0;22943,0;-2441,0
"""13082""";Tomelloso;624,0;21061,0;22943,0;-297,0
"""13087""";Valdepeñas;772,9;23534,0;22943,0;-6,0
"""16078""";Cuenca;1130,4;26757,0;21238,0;-888,0
"""19046""";Azuqueca de Henares;1447,4;25937,0;26814,0;468,0
"""19130""";Guadalajara;1262,7;28927,0;26814,0;2919,0
"""45081""";Illescas;1279,2;26343,0;23190,0;2897,0
"""45165""";Talavera de la Reina;794,4;23138,0;23190,0;174,0
"""45168""";Toledo;1405,4;29871,0;23190,0;1708,0
"""08015""";Badalona;2193,9;27951,0;33958,0;7158,0
"""08019""";Barcelona;3597,2;39523,0;33958,0;15923,0
"""08056""";Castelldefels;3263,1;45020,0;33958,0;1272,0
"""08073""";Cornellà de Llobregat;2346,5;27520,0;33958,0;2690,0
"""08077""";Esplugues de Llobregat;2745,0;39515,0;33958,0;887,0
"""08089""";Gavà;2711,9;33009,0;33958,0;393,0
"""08096""";Granollers;1923,8;32563,0;33958,0;1780,0
"""08101""";Hospitalet de Llobregat, L';2246,0;25991,0;33958,0;7308,0
"""08102""";Igualada;1314,7;30254,0;33958,0;1559,0
"""08113""";Manresa;1125,9;29797,0;33958,0;3040,0
"""08114""";Martorell;1835,1;29065,0;33958,0;986,0
"""08121""";Mataró;1898,4;27538,0;33958,0;2993,0
"""08124""";Mollet del Vallès;1954,4;28113,0;33958,0;23,0
"""08125""";Montcada i Reixac;1885,2;28108,0;33958,0;1731,0
"""08163""";Pineda de Mar;1658,7;25101,0;33958,0;1625,0
"""08169""";Prat de Llobregat, El;2404,0;28364,0;33958,0;1635,0
"""08172""";Premià de Mar;2380,8;31514,0;33958,0;474,0
"""08180""";Ripollet;1902,8;27198,0;33958,0;1240,0
"""08184""";Rubí;1891,8;28545,0;33958,0;2981,0
"""08187""";Sabadell;1867,0;30179,0;33958,0;6273,0
"""08194""";Sant Adrià de Besòs;2027,3;26235,0;33958,0;659,0
"""08196""";Sant Andreu de la Barca;2130,4;28828,0;33958,0;-128,0
"""08200""";Sant Boi de Llobregat;2194,2;28165,0;33958,0;1613,0
"""08205""";Sant Cugat del Vallès;3713,4;56689,0;33958,0;4496,0
"""08211""";Sant Feliu de Llobregat;2543,8;32990,0;33958,0;1265,0
"""08217""";Sant Joan Despí;2684,3;35027,0;33958,0;257,0
"""08231""";Sant Pere de Ribes;1942,3;31073,0;33958,0;1383,0
