MunicipioRenta;RentaMunicipio;RentaMedia
Belmonte de Tajo-28019;21432;37768
Cadalso de los Vidrios-28031;20939;37768
Estremera-28055;20641;37768
Villaconejos-28170;20044;37768
Cenicientos-28037;18853;37768
Agrupación municipios pequeños-28;25179;37768
Abarán-30002;29432;24380
Molina de Segura-30027;28703;24380
Murcia-30030;28238;24380
Cartagena-30016;26593;24380
San Javier-30035;24649;24380
Torres de Cotillas, Las-30038;23600;24380
Alcantarilla-30005;23038;24380
Alhama de Murcia-30008;22669;24380
Unión, La-30041;21955;24380
Yecla-30043;21896;24380
Ceutí-30018;21619;24380
Caravaca de la Cruz-30015;21417;24380
Santomera-30901;21410;24380
San Pedro del Pinatar-30036;21377;24380
Lorquí-30025;21332;24380
Lorca-30024;21266;24380
Alcázares, Los-30902;21099;24380
Aguilas-30003;20848;24380
Archena-30009;20646;24380
Villanueva del Río Segura-30042;20597;24380
Librilla-30023;20540;24380
Alguazas-30007;20471;24380
Torre-Pacheco-30037;20117;24380
Pliego-30032;20069;24380
Jumilla-30022;19955;24380
Cieza-30019;19945;24380
Fuente Alamo de Murcia-30021;19930;24380
Mula-30029;19870;24380
Aledo-30006;19689;24380
Abanilla-30001;19464;24380
Totana-30039;19405;24380
Puerto Lumbreras-30033;19037;24380
Bullas-30012;18997;24380
Cehegín-30017;18919;24380
Blanca-30011;18670;24380
Calasparra-30013;18278;24380
Beniel-30010;18204;24380
Mazarrón-30026;18033;24380
Campos del Río-30014;17952;24380
Fortuna-30020;17656;24380
Ricote-30034;17550;24380
Moratalla-30028;17126;24380
Albudeite-30004;16752;24380
Agrupación municipios pequeños-30;19692;24380
Lardero-26084;31428;26735
Logroño-26089;29275;26735
Alfaro-26011;26085;26735
Villamediana de Iregua-26168;25877;26735
Arnedo-26018;25857;26735
Calahorra-26036;25002;26735
Ezcaray-26061;24910;26735
Albelda de Iregua-26005;24868;26735
Navarrete-26105;24759;26735
Haro-26071;24527;26735
Fuenmayor-26064;24447;26735
Entrena-26059;24032;26735
Nalda-26103;23672;26735
Murillo de Río Leza-26099;23532;26735
Cenicero-26046;23445;26735
Nájera-26102;23349;26735
Alberite-26006;23158;26735
Santo Domingo de la Calzada-26138;23129;26735
Rincón de Soto-26125;22915;26735
Agoncillo-26002;22810;26735
Baños de Río Tobía-26026;21948;26735
Casalarreina-26042;21930;26735
Aldeanueva de Ebro-26008;21779;26735
Autol-26021;21145;26735
Cervera del Río Alhama-26047;20498;26735
San Asensio-26129;19948;26735
Pradejón-26117;19928;26735
Quel-26120;19923;26735
Agrupación municipios pequeños-26;21118;26735
Ceuta-51001;31504;31504
Melilla-52001;30175;30175
